Codeword_index,dmin_E,Normalized_dmin_E,ML_SER
1,48.9469967415772,9.79390435618978,0.0115
2,44.7299587450381,8.95010862705489,0.0126666666666667
3,46.8738155135789,9.37907729811176,0.0106666666666667
4,46.3892334840907,5.04009014941986,0.1875
5,47.2693880027592,5.88098040978884,0.123166666666667
6,43.7345679110329,5.90030487244763,0.0975
7,47.0743845382428,6.78835271717679,0.0726666666666667
8,45.4871483950953,6.86411750596873,0.0575
9,44.6884563765889,7.02333312118877,0.0545
10,45.931814044652,7.43470499070033,0.0416666666666667
11,45.814921102336,7.60215283856985,0.041
12,46.4595868951061,7.89360246162584,0.0286666666666667
13,46.9663423843456,8.12492228635797,0.034
14,45.7651995875115,8.05788244653973,0.0271666666666667
15,47.4034087742208,8.46172014759909,0.0241666666666667
16,47.2522577012817,8.53852279440178,0.0223333333333333
17,45.3133577435506,8.28912696630437,0.022
18,47.8981991365479,8.84794299672857,0.0215
19,45.7848048590501,8.54175794456567,0.0188333333333333
20,45.3197592585909,8.52275825368246,0.016
21,47.544486931435,9.00673360905308,0.019
22,46.28012902939,8.83340641886939,0.015
23,46.298386189413,8.89129465707638,0.0156666666666667
24,44.4268354478244,8.58633477308299,0.0165
25,48.0464773282781,9.33457293941592,0.0125
26,46.2107096282797,9.02701550908618,0.0125
27,46.3699451090154,9.09904365944051,0.0141666666666667
28,46.0834731403348,9.08106573811209,0.0123333333333333
29,46.8322336603932,9.26964030894594,0.0111666666666667
30,45.7421335995777,9.08736478600656,0.00916666666666667
31,47.2258066946601,9.41876686939994,0.00966666666666667
32,46.0926345830287,9.22276921328519,0.0123333333333333
