Reference_design,dmin_E,Normalized_dmin_E,RMS_noiseless_intensity
No reference,0,0,2.10047762425597
Constant,44.7299587450381,8.95010862705489,4.99770009604418
Random,46.8738155135789,9.37907729811176,4.99770009604418
Uniform,48.9469967415772,9.79390435618978,4.99770009604418
Optimized,48.9469967415772,9.79390435618978,4.99770009604418
