SNR_dB,Reference_only_SER,Joint_reference_RIS_SER
-16,0.600133333333333,0.596133333333333
-14,0.556983333333333,0.5503
-12,0.498766666666667,0.49365
-10,0.424316666666667,0.412866666666667
-8,0.333733333333333,0.323133333333333
-6,0.2335,0.223616666666667
-4,0.137,0.125533333333333
-2,0.0579666666666667,0.0510333333333333
0,0.01425,0.0127166666666667
