Number_of_reference_states,Normalized_dmin_E,ML_SER
1,2.74577369327613,0.49515
2,5.19064705704434,0.3731
3,8.20384163260015,0.28385
4,9.60582881783729,0.2111
5,10.6472529769165,0.1686
6,11.6605022621317,0.1317
7,12.6322984769351,0.09695
8,13.5846933920198,0.07975
