PilotCorrelation,PilotGramCondition,MedianInitialNormalCondition,InitialDOA_RMSE_deg,InitialChannel_NMSE_dB,LM_Success,StabilityAware_Success,LM_CatastrophicFailure,StabilityAware_CatastrophicFailure,LM_DOA_RMSE_deg,StabilityAware_DOA_RMSE_deg,LM_Channel_NMSE_dB,StabilityAware_Channel_NMSE_dB,LM_Iterations,StabilityAware_Iterations,LM_Rejections,StabilityAware_Rejections,StabilityActivationProbability
0,1,69.9384952546589,0.616441400296898,-26.5083126453835,0.993333333333333,0.993333333333333,0,0,0.474548832932626,0.474548832932626,-28.3977972905765,-28.3977972905765,4.26,4.26,0,0,0
0.5,3,93.7716884726667,0.743583664873474,-24.3767940634846,0.993333333333333,0.993333333333333,0,0,0.520211757078527,0.520211757078527,-27.1313172904158,-27.1313172904158,4.67666666666667,4.67666666666667,0,0,0
0.8,8.99999999999999,173.731191768066,1.14400611886476,-20.9140028552525,0.976666666666667,0.976666666666667,0,0,0.551501259377473,0.551501259377473,-25.2329018874351,-25.2329018874351,5.20666666666667,5.20666666666667,0,0,0
0.9,19,316.418477712293,1.56364957711119,-18.0728343526764,0.97,0.97,0,0,0.566680502408662,0.566680502408662,-23.3379812654029,-23.3379812654029,5.8,5.8,0,0,0
0.95,39.0000000000002,615.871518954564,2.17638844572072,-15.1453144188891,0.956666666666667,0.956666666666667,0,0,0.583407522668935,0.583407523092625,-21.037061988682,-21.0370618525937,6.71333333333333,6.71333333333333,0,0,0.0133333333333333
0.975,78.9999999999998,1228.44328191138,3.09798321493193,-12.047753960884,0.95,0.95,0,0,0.610770349112255,0.61077035707836,-18.0710850606462,-18.071084627424,8.33333333333333,9.91333333333333,0.0733333333333333,0.0566666666666667,1
0.99,199.000000000003,2922.9593040276,6.72721462915126,-7.24172645001895,0.886666666666667,0.89,0.02,0.02,4.22571891542335,4.22519777187377,-11.7054117596461,-11.9102338897625,13.2933333333333,30.83,1.10333333333333,0.49,1
0.995,398.999999999995,3047.95437019724,14.1227063034439,-2.78677555531495,0.693333333333333,0.693333333333333,0.15,0.153333333333333,10.4927713992689,10.3988986618587,-5.99721628147773,-5.94184225297802,21.0966666666667,39.1966666666667,4.32333333333333,1.67666666666667,1
