PilotCorrelation,InitialPilotGramCondition,MedianInitialNormalCondition,ExtensionProbability,AverageIntensitySnapshots,Fixed16_Success,StabilityGuided_Success,Fixed32_Success,Fixed16_Channel_NMSE_dB,StabilityGuided_Channel_NMSE_dB,Fixed32_Channel_NMSE_dB
0,1,76.7504039445921,0,16,0.883333333333333,0.883333333333333,0.976666666666667,-25.2487529241312,-25.2487529241312,-28.2478142000997
0.5,3,98.1909564955705,0,16,0.896666666666667,0.896666666666667,0.976666666666667,-25.1524203780328,-25.1524203780328,-28.3135934782691
0.8,9.00000000000001,196.574322688515,0,16,0.906666666666667,0.906666666666667,0.983333333333333,-23.6747550516463,-23.6747550516463,-28.3814427659042
0.9,19,376.143220495241,0,16,0.88,0.88,0.983333333333333,-21.8138500349896,-21.8138500349896,-28.3834469157398
0.95,38.9999999999999,692.22699380789,0.103333333333333,17.6533333333333,0.87,0.876666666666667,0.99,-19.4472020551894,-20.2980906094577,-28.3702392439059
0.975,78.9999999999997,1072.66632984618,0.57,25.12,0.83,0.886666666666667,0.99,-16.4234352470437,-19.1804047074687,-28.3595974660047
0.99,198.999999999998,2080.73003795188,1,32,0.72,0.99,0.99,-9.245675333004,-28.3550008377824,-28.3550008377824
0.995,398.999999999994,1445.39287621722,1,32,0.56,0.99,0.99,-4.54338944092071,-28.3559580855629,-28.3559580855629
