AngularSeparation_deg,OldOracle_RankOnePilot_Success,Algorithm1_FullRankPilot_Success,OldOracle_RankOnePilot_Channel_NMSE_dB,Algorithm1_FullRankPilot_Channel_NMSE_dB,Algorithm1_Initial_DOA_RMSE_deg,Algorithm1_Initial_Channel_NMSE_dB
0.5,0.956666666666667,0.98,-18.4203947571422,-25.1568571855662,1.03601801786134,-21.3359167054773
1,0.903333333333333,0.993333333333333,-17.2987097051604,-25.0745392574114,1.0236780092718,-21.4875895414138
2,0.906666666666667,0.973333333333333,-17.2370892654429,-25.3234783364809,1.04682058316281,-21.6892314259848
4,0.943333333333333,0.99,-18.0502620493353,-25.2891052437117,1.00788557551606,-21.805875886254
8,0.85,0.986666666666667,-18.3351391492591,-25.8682031410953,1.01796365357512,-22.1215846432939
16,0.923333333333333,0.95,-26.9280793094619,-28.0241402415399,1.05277411315692,-23.3409229560959
