AngularSeparation_deg,Undamped_Success,LM_Success,StabilityAware_Success,Undamped_DOA_RMSE_deg,LM_DOA_RMSE_deg,StabilityAware_DOA_RMSE_deg,Undamped_Channel_NMSE_dB,LM_Channel_NMSE_dB,StabilityAware_Channel_NMSE_dB,Undamped_Iterations,LM_Iterations,StabilityAware_Iterations,Undamped_Rejections,LM_Rejections,StabilityAware_Rejections,Algorithm1_Initial_DOA_RMSE_deg,Algorithm1_Initial_Channel_NMSE_dB
0.5,0.98,0.98,0.98,0.514199414014429,0.514199414014171,0.514199270031509,-25.156863620789,-25.1568636207898,-25.1568571855662,4.91,4.91,7.51,0,0,0,1.03601801786134,-21.3359167054773
1,0.993333333333333,0.993333333333333,0.993333333333333,0.508247246121363,0.508247246121251,0.508247131887174,-25.0745365299297,-25.0745365299304,-25.0745392574114,4.86666666666667,4.86666666666667,7.53,0,0,0,1.0236780092718,-21.4875895414138
2,0.973333333333333,0.973333333333333,0.973333333333333,0.541585868660567,0.541585868660215,0.541585802581587,-25.3234768048564,-25.3234768048593,-25.3234783364809,4.92333333333333,4.92333333333333,7.54,0,0,0,1.04682058316281,-21.6892314259848
4,0.99,0.99,0.99,0.512718036227799,0.512718036228167,0.512718024351804,-25.2891069009651,-25.2891069009611,-25.2891052437117,5.02,5.02,7.43333333333333,0,0,0,1.00788557551606,-21.805875886254
8,0.986666666666667,0.986666666666667,0.986666666666667,0.533818109105302,0.533818109105453,0.533818070175617,-25.868204044084,-25.868204044082,-25.8682031410953,4.95333333333333,4.95333333333333,5.96,0,0,0,1.01796365357512,-22.1215846432939
16,0.95,0.95,0.95,0.55716288954271,0.557162889542945,0.557162889542945,-28.0241402415379,-28.0241402415399,-28.0241402415399,4.62,4.62,4.62,0,0,0,1.05277411315692,-23.3409229560959
