Training_SNR_dB,OldOracle_RankOnePilot_SER,Algorithm1_FullRankPilot_SER,OldOracle_RankOnePilot_Channel_NMSE_dB,Algorithm1_FullRankPilot_Channel_NMSE_dB,Algorithm1_Initial_DOA_RMSE_deg
0,0.06505,0.00095,-6.90269364145651,-13.5583573459197,4.09923773401836
4,0.01085,0.0001,-11.157153465259,-17.0601951962955,2.43413228892762
8,0.0011,0,-14.2886921526571,-21.5212254691691,1.56484823545288
12,0.0001,0,-17.3104140494555,-25.2061131465794,1.1516292806281
16,0,0,-20.3545169400916,-28.9697121998118,0.659545297913646
20,0,0,-21.6183415215442,-33.7804990446668,0.452769256906871
