SNR_dB,ML_SER,Linearized_SER,Continuous_GS_SER,Certified_FiniteAlphabet_GS_SER,Analytical_SER_Union_Bound,Unclipped_SER_Union_Bound
-15,0.364633333333333,0.389116666666667,0.4139,0.389116666666667,1,1.25283156761147
-13,0.2663,0.298933333333333,0.318916666666667,0.298933333333333,0.711388943105552,0.711388943105552
-11,0.161883333333333,0.20335,0.214,0.20335,0.3267562389153,0.3267562389153
-9,0.07355,0.114316666666667,0.123366666666667,0.114316666666667,0.114455141726135,0.114455141726135
-7,0.0229333333333333,0.05095,0.05225,0.05095,0.0284561773497986,0.0284561773497986
-5,0.00395,0.0145333333333333,0.0144,0.0145333333333333,0.00437605223206868,0.00437605223206868
-3,0.0003,0.00221666666666667,0.0022,0.00221666666666667,0.000315124735051864,0.000315124735051864
