AngularSeparation_deg,Undamped_Success,LM_Success,StabilityAware_Success,Undamped_DOA_RMSE_deg,LM_DOA_RMSE_deg,StabilityAware_DOA_RMSE_deg,Undamped_Channel_NMSE_dB,LM_Channel_NMSE_dB,StabilityAware_Channel_NMSE_dB,Undamped_Iterations,LM_Iterations,StabilityAware_Iterations,Undamped_Rejections,LM_Rejections,StabilityAware_Rejections
0.5,0,0.283333333333333,0.956666666666667,28.2883329531678,7.04952870838852,0.612406129968745,0.871855774390951,-0.0605417312818186,-18.4203947571422,28.97,29.8266666666667,29.8533333333333,0,11.9866666666667,0
1,0.00333333333333333,0.266666666666667,0.903333333333333,25.9990357294596,6.05162803362786,0.649910439255026,0.932983387800394,0.225101286518536,-17.2987097051604,28.6133333333333,29.16,30,0,10.5733333333333,0
2,0.0933333333333333,0.24,0.906666666666667,19.8609240975191,3.41320900686593,0.670035976916604,0.110062941783936,-0.997547306843569,-17.2370892654429,25.8366666666667,25.9366666666667,30,0,7.33333333333333,0
4,0.363333333333333,0.396666666666667,0.943333333333333,10.1914338178554,1.66656264089612,0.644352725355609,-4.20523126569958,-6.13585681527236,-18.0502620493353,16.59,16.08,30,0,1.78333333333333,0
8,0.83,0.83,0.85,0.806884928925081,0.806884892062941,0.749008801787081,-17.066548607333,-17.0665493033121,-18.3351391492591,8.23666666666667,8.30333333333333,29.9866666666667,0,0.136666666666667,0
16,0.923333333333333,0.923333333333333,0.923333333333333,0.638995757260961,0.638995757261276,0.638995773726357,-26.9280794192854,-26.9280794192881,-26.9280793094619,5.56,5.56,5.58333333333333,0,0,0
