TrainingReference,Channel_NMSE_dB,EndToEnd_ML_SER
No reference,3.13481516576851,0.763333333333333
Constant,-10.8124182463978,0.0158333333333333
Random,-11.0516715405945,0.0133333333333333
Uniform,-10.4253914272003,0.0216666666666667
Optimized,-10.7706784925359,0.0152777777777778
