PilotLength,Channel_NMSE_dB,EndToEnd_ML_SER
4,1.61711736792393,0.395555555555556
6,-5.70921546569716,0.0391666666666667
8,-9.58810594752434,0.0141666666666667
12,-10.7270894167669,0.0161111111111111
16,-13.0982759432727,0.0113888888888889
24,-16.0811669186969,0.0119444444444444
32,-17.0589238738777,0.0105555555555556
48,-18.9128125102734,0.0136111111111111
