Channel_NMSE_dB,EndToEnd_ML_SER
-30,0.00078125
-25,0
-20,0.000260416666666667
-16,0.000520833333333333
-13,0.000520833333333333
-10,0.00208333333333333
-7,0.0015625
-4,0.00703125
-1,0.0791666666666667
2,0.225260416666667
