SNR_dB,Channel_NMSE_dB,Perfect_ML_SER,Estimated_ML_SER,Perfect_GN_SER,Estimated_GN_SER,Perfect_GS_SER,Estimated_GS_SER
-12,4.33026186242035,0.215,0.634583333333333,0.225833333333333,0.62375,0.247916666666667,0.6225
-9,2.61144132932555,0.0729166666666667,0.455833333333333,0.08125,0.427916666666667,0.101666666666667,0.432083333333333
-6,0.55566351723944,0.0104166666666667,0.198333333333333,0.0145833333333333,0.188333333333333,0.0208333333333333,0.2125
-3,-1.75841046716625,0.00125,0.0295833333333333,0.00125,0.0291666666666667,0.00291666666666667,0.0345833333333333
0,-4.55581211965393,0,0,0,0,0,0.00125
3,-7.79195676404461,0,0,0,0,0,0
6,-10.9419217380537,0,0,0,0,0,0
9,-13.5310819521319,0,0,0,0,0,0
12,-16.6872081356001,0,0,0,0,0,0
