DataReference,Normalized_dmin_E,EndToEnd_ML_SER
No reference,0,0.750833333333333
Constant,8.95010862705489,0.0122222222222222
Random,9.41747405547853,0.0116666666666667
Uniform,9.79390435618978,0.0141666666666667
Optimized,9.79390435618978,0.01
