Number_of_RIS_elements,Normalized_dmin_E,ML_SER
4,1.68307191001819,0.6455
9,3.20156388422279,0.5756
16,4.74821051237149,0.4892
25,5.91939032608349,0.4175
36,7.28144153449612,0.3461
64,9.60582881783729,0.2143
100,12.1839019343328,0.1168
144,14.592437060934,0.0552
256,19.6148559496385,0.01
400,24.4335736490525,0.0012
576,29.3411929538616,0
784,34.3017494145473,0
1024,39.2432636417254,0
