Number_of_reference_states,Normalized_dmin_E,ML_SER
1,2.74577369327613,0.50085
2,6.68578346060217,0.3692
3,8.31889178065173,0.28155
4,9.60582881783729,0.2144
5,10.7396431084553,0.16725
6,11.7646895801117,0.12715
7,12.7073170943275,0.0986
8,13.5846933920198,0.07965
9,14.4087432267559,0.05965
10,15.1881489390243,0.04575
11,15.9294649945747,0.03745
12,16.6377835613035,0.0264
13,17.317154173021,0.02145
14,17.9708601761735,0.02025
15,18.6016075190015,0.01445
16,19.2116576356746,0.0111
