SNR_dB,Channel_NMSE_dB,DOA_RMSE_deg,DOA_RMSE_CI95_lower_deg,DOA_RMSE_CI95_upper_deg,DOA_bias_RMS_deg,DOA_CRLB_deg
0,-5.4837429272839,1.32068874826955,1.27727533345831,1.36410216308078,0.0706284775766053,1.21078449830081
3,-8.41633190562291,0.917543467918807,0.886582321221757,0.948504614615857,0.0190758636949147,0.857169781369719
6,-11.4063381754856,0.636112725953261,0.616224120381629,0.656001331524893,0.0292489117345025,0.606829733222166
9,-14.3994456592453,0.451424619384428,0.437096159658412,0.465753079110444,0.0154964522880558,0.429602551473583
12,-17.3743944325368,0.314086759010459,0.304440642444082,0.323732875576836,0.00921130396959926,0.304135315276393
15,-20.3821269141983,0.229387672538445,0.221940349429674,0.236834995647216,0.00733372784977993,0.215311314332263
18,-23.3844842393445,0.159383643065389,0.154168180580713,0.164599105550066,0.00283236610441224,0.152428737311734
21,-26.3863074367051,0.115786784672048,0.111863325463364,0.119710243880733,0.00153192129725284,0.107911281998839
24,-29.3848590551995,0.0799162849605356,0.0772997377505789,0.0825328321704923,0.00127689402793451,0.076395337178566
