Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
0.296,0.414,16.56,0.177827941003892,0.0316227766016838
0.296,0.194,7.76,0.0645654229034656,0.00416869383470336
0.296,0.466,18.64,0.225943577022098,0.0510504999975407
0.296,0.129,5.16,0.0478630092322639,0.00229086765276777
0.296,0.453,18.12,0.212813904598271,0.0452897579903621
0.296,0.207,8.28,0.0685488226452661,0.00469894108605215
0.297,0.466,18.64,0.225943577022098,0.0510504999975407
0.297,0.569,22.76,0.363078054770101,0.131825673855641
0.297,0.362,14.48,0.139958732257262,0.0195884467350599
0.297,0.544,21.76,0.323593656929628,0.10471285480509
0.297,0.298,11.92,0.10423174293933,0.0108642562361707
0.297,0.518,20.72,0.287078058202469,0.0824138115013002
0.297,0.608,24.32,0.434510224171571,0.188799134909629
0.297,0.492,19.68,0.254683025258504,0.0648634433548238
0.297,0.595,23.8,0.409260659730011,0.167494287602644
0.297,0.66,26.4,0.552077439280757,0.304789498962798
0.297,0.582,23.28,0.385478357665772,0.148593564228701
0.297,0.634,25.36,0.489778819368446,0.239883291901949
0.297,0.66,26.4,0.552077439280757,0.304789498962798
0.297,0.634,25.36,0.489778819368446,0.239883291901949
0.297,0.66,26.4,0.552077439280757,0.304789498962798
0.297,0.647,25.88,0.519995996533516,0.270395836410884
0.297,0.634,25.36,0.489778819368446,0.239883291901949
0.298,0.647,25.88,0.519995996533516,0.270395836410884
0.298,0.608,24.32,0.434510224171571,0.188799134909629
0.369,0.66,26.4,0.552077439280757,0.304789498962798
0.369,0.621,24.84,0.461317574560379,0.212813904598271
0.369,0.531,21.24,0.304789498962798,0.0928966386779936
0.369,0.634,25.36,0.489778819368446,0.239883291901949
0.369,0.556,22.24,0.341979442513709,0.116949939101987
0.369,0.401,16.04,0.167494287602644,0.0280543363795171
0.382,0.582,23.28,0.385478357665772,0.148593564228701
0.382,0.453,18.12,0.212813904598271,0.0452897579903621
0.487,0.168,6.72,0.0572796030985829,0.00328095293113119
0.487,0.492,19.68,0.254683025258504,0.0648634433548238
0.487,0.181,7.24,0.0608135001278718,0.00369828179780266
0.488,0.44,17.6,0.200447202736516,0.040179081084894
0.488,0.298,11.92,0.10423174293933,0.0108642562361707
0.488,0.375,15,0.148593564228701,0.022080047330189
0.488,0.544,21.76,0.323593656929628,0.10471285480509
0.488,0.311,12.44,0.110662378397767,0.0122461619926505
0.571,0.531,21.24,0.304789498962798,0.0928966386779936
0.571,0.44,17.6,0.200447202736516,0.040179081084894
0.571,0.505,20.2,0.270395836410884,0.0731139083483417
0.571,0.595,23.8,0.409260659730011,0.167494287602644
0.571,0.466,18.64,0.225943577022098,0.0510504999975407
0.571,0.582,23.28,0.385478357665772,0.148593564228701
0.571,0.647,25.88,0.519995996533516,0.270395836410884
0.591,0.582,23.28,0.385478357665772,0.148593564228701
0.591,0.634,25.36,0.489778819368446,0.239883291901949
0.608,0.647,25.88,0.519995996533516,0.270395836410884
0.625,0.621,24.84,0.461317574560379,0.212813904598271
0.625,0.66,26.4,0.552077439280757,0.304789498962798
0.64,0.66,26.4,0.552077439280757,0.304789498962798
0.654,0.647,25.88,0.519995996533516,0.270395836410884
0.67,0.647,25.88,0.519995996533516,0.270395836410884
0.67,0.608,24.32,0.434510224171571,0.188799134909629
0.685,0.647,25.88,0.519995996533516,0.270395836410884
0.701,0.621,24.84,0.461317574560379,0.212813904598271
0.717,0.556,22.24,0.341979442513709,0.116949939101987
0.717,0.634,25.36,0.489778819368446,0.239883291901949
0.744,0.569,22.76,0.363078054770101,0.131825673855641
0.744,0.427,17.08,0.188799134909629,0.0356451133426244
0.783,0.569,22.76,0.363078054770101,0.131825673855641
0.783,0.466,18.64,0.225943577022098,0.0510504999975407
0.785,0.168,6.72,0.0572796030985829,0.00328095293113119
0.813,0.505,20.2,0.270395836410884,0.0731139083483417
0.813,0.505,20.2,0.270395836410884,0.0731139083483417
0.813,0.388,15.52,0.157761126969935,0.0248885731828239
0.834,0.298,11.92,0.10423174293933,0.0108642562361707
0.852,0.349,13.96,0.131825673855641,0.0173780082874937
0.852,0.544,21.76,0.323593656929628,0.10471285480509
0.868,0.272,10.88,0.0924698173938222,0.00855066712884683
0.884,0.518,20.72,0.287078058202469,0.0824138115013002
0.884,0.181,7.24,0.0608135001278718,0.00369828179780266
0.899,0.492,19.68,0.254683025258504,0.0648634433548238
0.915,0.608,24.32,0.434510224171571,0.188799134909629
0.93,0.453,18.12,0.212813904598271,0.0452897579903621
0.93,0.582,23.28,0.385478357665772,0.148593564228701
0.946,0.634,25.36,0.489778819368446,0.239883291901949
0.961,0.556,22.24,0.341979442513709,0.116949939101987
0.977,0.634,25.36,0.489778819368446,0.239883291901949
0.991,0.66,26.4,0.552077439280757,0.304789498962798
0.991,0.621,24.84,0.461317574560379,0.212813904598271
1.008,0.66,26.4,0.552077439280757,0.304789498962798
1.022,0.66,26.4,0.552077439280757,0.304789498962798
1.038,0.647,25.88,0.519995996533516,0.270395836410884
1.038,0.66,26.4,0.552077439280757,0.304789498962798
1.055,0.621,24.84,0.461317574560379,0.212813904598271
1.072,0.66,26.4,0.552077439280757,0.304789498962798
1.088,0.647,25.88,0.519995996533516,0.270395836410884
1.088,0.569,22.76,0.363078054770101,0.131825673855641
1.102,0.647,25.88,0.519995996533516,0.270395836410884
1.118,0.582,23.28,0.385478357665772,0.148593564228701
1.132,0.453,18.12,0.212813904598271,0.0452897579903621
1.148,0.595,23.8,0.409260659730011,0.167494287602644
1.148,0.492,19.68,0.254683025258504,0.0648634433548238
1.165,0.181,7.24,0.0608135001278718,0.00369828179780266
1.181,0.518,20.72,0.287078058202469,0.0824138115013002
1.181,0.259,10.36,0.0870963589956081,0.00758577575029184
1.196,0.375,15,0.148593564228701,0.022080047330189
1.213,0.349,13.96,0.131825673855641,0.0173780082874937
1.228,0.311,12.44,0.110662378397767,0.0122461619926505
1.228,0.531,21.24,0.304789498962798,0.0928966386779936
1.244,0.22,8.8,0.0727779804536824,0.00529663443891658
1.261,0.505,20.2,0.270395836410884,0.0731139083483417
1.275,0.181,7.24,0.0608135001278718,0.00369828179780266
1.276,0.479,19.16,0.239883291901949,0.0575439937337157
1.29,0.595,23.8,0.409260659730011,0.167494287602644
1.306,0.44,17.6,0.200447202736516,0.040179081084894
1.321,0.569,22.76,0.363078054770101,0.131825673855641
1.337,0.634,25.36,0.489778819368446,0.239883291901949
1.337,0.531,21.24,0.304789498962798,0.0928966386779936
1.353,0.634,25.36,0.489778819368446,0.239883291901949
1.367,0.647,25.88,0.519995996533516,0.270395836410884
1.383,0.621,24.84,0.461317574560379,0.212813904598271
1.383,0.647,25.88,0.519995996533516,0.270395836410884
1.398,0.634,25.36,0.489778819368446,0.239883291901949
1.412,0.647,25.88,0.519995996533516,0.270395836410884
1.428,0.647,25.88,0.519995996533516,0.270395836410884
1.443,0.621,24.84,0.461317574560379,0.212813904598271
1.443,0.66,26.4,0.552077439280757,0.304789498962798
1.458,0.647,25.88,0.519995996533516,0.270395836410884
1.473,0.569,22.76,0.363078054770101,0.131825673855641
1.487,0.647,25.88,0.519995996533516,0.270395836410884
1.503,0.582,23.28,0.385478357665772,0.148593564228701
1.503,0.466,18.64,0.225943577022098,0.0510504999975407
1.517,0.608,24.32,0.434510224171571,0.188799134909629
1.534,0.505,20.2,0.270395836410884,0.0731139083483417
1.548,0.259,10.36,0.0870963589956081,0.00758577575029184
1.564,0.544,21.76,0.323593656929628,0.10471285480509
1.564,0.311,12.44,0.110662378397767,0.0122461619926505
1.579,0.336,13.44,0.124165230759241,0.0154170045294956
1.594,0.388,15.52,0.157761126969935,0.0248885731828239
1.609,0.246,9.84,0.0820351544329818,0.00672976656284318
1.609,0.518,20.72,0.287078058202469,0.0824138115013002
1.624,0.569,22.76,0.363078054770101,0.131825673855641
1.64,0.492,19.68,0.254683025258504,0.0648634433548238
1.655,0.595,23.8,0.409260659730011,0.167494287602644
1.67,0.44,17.6,0.200447202736516,0.040179081084894
1.67,0.582,23.28,0.385478357665772,0.148593564228701
1.684,0.388,15.52,0.157761126969935,0.0248885731828239
1.7,0.569,22.76,0.363078054770101,0.131825673855641
1.715,0.634,25.36,0.489778819368446,0.239883291901949
1.73,0.544,21.76,0.323593656929628,0.10471285480509
1.73,0.621,24.84,0.461317574560379,0.212813904598271
1.746,0.647,25.88,0.519995996533516,0.270395836410884
1.762,0.621,24.84,0.461317574560379,0.212813904598271
1.777,0.647,25.88,0.519995996533516,0.270395836410884
1.777,0.66,26.4,0.552077439280757,0.304789498962798
1.791,0.647,25.88,0.519995996533516,0.270395836410884
1.806,0.66,26.4,0.552077439280757,0.304789498962798
1.821,0.634,25.36,0.489778819368446,0.239883291901949
1.836,0.66,26.4,0.552077439280757,0.304789498962798
1.837,0.647,25.88,0.519995996533516,0.270395836410884
1.852,0.582,23.28,0.385478357665772,0.148593564228701
1.867,0.647,25.88,0.519995996533516,0.270395836410884
1.883,0.608,24.32,0.434510224171571,0.188799134909629
1.883,0.492,19.68,0.254683025258504,0.0648634433548238
1.899,0.608,24.32,0.434510224171571,0.188799134909629
1.914,0.505,20.2,0.270395836410884,0.0731139083483417
1.931,0.272,10.88,0.0924698173938222,0.00855066712884683
1.931,0.544,21.76,0.323593656929628,0.10471285480509
1.947,0.349,13.96,0.131825673855641,0.0173780082874937
1.961,0.298,11.92,0.10423174293933,0.0108642562361707
1.976,0.414,16.56,0.177827941003892,0.0316227766016838
1.992,0.246,9.84,0.0820351544329818,0.00672976656284318
1.992,0.492,19.68,0.254683025258504,0.0648634433548238
2.008,0.181,7.24,0.0608135001278718,0.00369828179780266
2.023,0.479,19.16,0.239883291901949,0.0575439937337157
2.039,0.582,23.28,0.385478357665772,0.148593564228701
2.039,0.427,17.08,0.188799134909629,0.0356451133426244
2.055,0.569,22.76,0.363078054770101,0.131825673855641
2.07,0.388,15.52,0.157761126969935,0.0248885731828239
2.086,0.556,22.24,0.341979442513709,0.116949939101987
2.086,0.621,24.84,0.461317574560379,0.212813904598271
2.101,0.531,21.24,0.304789498962798,0.0928966386779936
2.117,0.608,24.32,0.434510224171571,0.188799134909629
2.134,0.647,25.88,0.519995996533516,0.270395836410884
2.134,0.608,24.32,0.434510224171571,0.188799134909629
2.148,0.647,25.88,0.519995996533516,0.270395836410884
2.164,0.66,26.4,0.552077439280757,0.304789498962798
2.179,0.647,25.88,0.519995996533516,0.270395836410884
2.195,0.647,25.88,0.519995996533516,0.270395836410884
2.195,0.634,25.36,0.489778819368446,0.239883291901949
2.21,0.647,25.88,0.519995996533516,0.270395836410884
2.226,0.647,25.88,0.519995996533516,0.270395836410884
2.241,0.595,23.8,0.409260659730011,0.167494287602644
2.241,0.647,25.88,0.519995996533516,0.270395836410884
2.256,0.595,23.8,0.409260659730011,0.167494287602644
2.272,0.505,20.2,0.270395836410884,0.0731139083483417
2.287,0.621,24.84,0.461317574560379,0.212813904598271
2.301,0.544,21.76,0.323593656929628,0.10471285480509
2.302,0.336,13.44,0.124165230759241,0.0154170045294956
2.316,0.556,22.24,0.341979442513709,0.116949939101987
2.333,0.401,16.04,0.167494287602644,0.0280543363795171
2.348,0.505,20.2,0.270395836410884,0.0731139083483417
2.348,0.453,18.12,0.212813904598271,0.0452897579903621
2.363,0.168,6.72,0.0572796030985829,0.00328095293113119
2.378,0.492,19.68,0.254683025258504,0.0648634433548238
2.394,0.181,7.24,0.0608135001278718,0.00369828179780266
2.41,0.453,18.12,0.212813904598271,0.0452897579903621
2.41,0.582,23.28,0.385478357665772,0.148593564228701
2.425,0.401,16.04,0.167494287602644,0.0280543363795171
2.443,0.569,22.76,0.363078054770101,0.131825673855641
2.458,0.336,13.44,0.124165230759241,0.0154170045294956
2.458,0.544,21.76,0.323593656929628,0.10471285480509
2.474,0.621,24.84,0.461317574560379,0.212813904598271
2.489,0.518,20.72,0.287078058202469,0.0824138115013002
2.504,0.595,23.8,0.409260659730011,0.167494287602644
2.504,0.66,26.4,0.552077439280757,0.304789498962798
2.521,0.595,23.8,0.409260659730011,0.167494287602644
2.536,0.647,25.88,0.519995996533516,0.270395836410884
2.552,0.66,26.4,0.552077439280757,0.304789498962798
2.552,0.647,25.88,0.519995996533516,0.270395836410884
2.567,0.66,26.4,0.552077439280757,0.304789498962798
2.583,0.647,25.88,0.519995996533516,0.270395836410884
2.598,0.66,26.4,0.552077439280757,0.304789498962798
2.598,0.647,25.88,0.519995996533516,0.270395836410884
2.613,0.595,23.8,0.409260659730011,0.167494287602644
2.629,0.66,26.4,0.552077439280757,0.304789498962798
2.645,0.608,24.32,0.434510224171571,0.188799134909629
2.645,0.518,20.72,0.287078058202469,0.0824138115013002
2.661,0.634,25.36,0.489778819368446,0.239883291901949
2.677,0.544,21.76,0.323593656929628,0.10471285480509
2.693,0.362,14.48,0.139958732257262,0.0195884467350599
2.693,0.556,22.24,0.341979442513709,0.116949939101987
2.708,0.414,16.56,0.177827941003892,0.0316227766016838
2.725,0.207,8.28,0.0685488226452661,0.00469894108605215
2.74,0.453,18.12,0.212813904598271,0.0452897579903621
2.74,0.168,6.72,0.0572796030985829,0.00328095293113119
2.756,0.453,18.12,0.212813904598271,0.0452897579903621
2.772,0.194,7.76,0.0645654229034656,0.00416869383470336
2.788,0.414,16.56,0.177827941003892,0.0316227766016838
2.788,0.556,22.24,0.341979442513709,0.116949939101987
2.805,0.362,14.48,0.139958732257262,0.0195884467350599
2.82,0.544,21.76,0.323593656929628,0.10471285480509
2.835,0.285,11.4,0.0981747943019984,0.0096382902362397
2.835,0.518,20.72,0.287078058202469,0.0824138115013002
2.852,0.608,24.32,0.434510224171571,0.188799134909629
2.868,0.492,19.68,0.254683025258504,0.0648634433548238
2.884,0.608,24.32,0.434510224171571,0.188799134909629
2.884,0.647,25.88,0.519995996533516,0.270395836410884
2.9,0.582,23.28,0.385478357665772,0.148593564228701
2.915,0.634,25.36,0.489778819368446,0.239883291901949
2.931,0.66,26.4,0.552077439280757,0.304789498962798
2.931,0.621,24.84,0.461317574560379,0.212813904598271
2.946,0.66,26.4,0.552077439280757,0.304789498962798
2.962,0.647,25.88,0.519995996533516,0.270395836410884
2.978,0.66,26.4,0.552077439280757,0.304789498962798
2.994,0.647,25.88,0.519995996533516,0.270395836410884
2.994,0.608,24.32,0.434510224171571,0.188799134909629
3.011,0.66,26.4,0.552077439280757,0.304789498962798
3.026,0.608,24.32,0.434510224171571,0.188799134909629
3.026,0.544,21.76,0.323593656929628,0.10471285480509
3.042,0.634,25.36,0.489778819368446,0.239883291901949
3.058,0.556,22.24,0.341979442513709,0.116949939101987
3.073,0.388,15.52,0.157761126969935,0.0248885731828239
3.073,0.582,23.28,0.385478357665772,0.148593564228701
3.09,0.44,17.6,0.200447202736516,0.040179081084894
3.106,0.168,6.72,0.0572796030985829,0.00328095293113119
3.122,0.479,19.16,0.239883291901949,0.0575439937337157
3.122,0.414,16.56,0.177827941003892,0.0316227766016838
3.138,0.44,17.6,0.200447202736516,0.040179081084894
3.153,0.259,10.36,0.0870963589956081,0.00758577575029184
3.168,0.531,21.24,0.304789498962798,0.0928966386779936
3.168,0.556,22.24,0.341979442513709,0.116949939101987
3.184,0.336,13.44,0.124165230759241,0.0154170045294956
3.201,0.544,21.76,0.323593656929628,0.10471285480509
3.217,0.259,10.36,0.0870963589956081,0.00758577575029184
3.217,0.518,20.72,0.287078058202469,0.0824138115013002
3.233,0.608,24.32,0.434510224171571,0.188799134909629
3.249,0.479,19.16,0.239883291901949,0.0575439937337157
3.266,0.595,23.8,0.409260659730011,0.167494287602644
3.266,0.647,25.88,0.519995996533516,0.270395836410884
3.281,0.569,22.76,0.363078054770101,0.131825673855641
3.298,0.634,25.36,0.489778819368446,0.239883291901949
3.314,0.647,25.88,0.519995996533516,0.270395836410884
3.314,0.634,25.36,0.489778819368446,0.239883291901949
3.33,0.647,25.88,0.519995996533516,0.270395836410884
3.346,0.647,25.88,0.519995996533516,0.270395836410884
3.362,0.647,25.88,0.519995996533516,0.270395836410884
3.362,0.647,25.88,0.519995996533516,0.270395836410884
3.378,0.608,24.32,0.434510224171571,0.188799134909629
3.394,0.66,26.4,0.552077439280757,0.304789498962798
3.409,0.621,24.84,0.461317574560379,0.212813904598271
3.41,0.556,22.24,0.341979442513709,0.116949939101987
3.425,0.634,25.36,0.489778819368446,0.239883291901949
3.442,0.569,22.76,0.363078054770101,0.131825673855641
3.458,0.414,16.56,0.177827941003892,0.0316227766016838
3.459,0.582,23.28,0.385478357665772,0.148593564228701
3.474,0.466,18.64,0.225943577022098,0.0510504999975407
3.491,0.168,6.72,0.0572796030985829,0.00328095293113119
3.491,0.492,19.68,0.254683025258504,0.0648634433548238
3.507,0.22,8.8,0.0727779804536824,0.00529663443891658
3.523,0.414,16.56,0.177827941003892,0.0316227766016838
3.54,0.298,11.92,0.10423174293933,0.0108642562361707
3.54,0.349,13.96,0.131825673855641,0.0173780082874937
3.557,0.531,21.24,0.304789498962798,0.0928966386779936
3.573,0.272,10.88,0.0924698173938222,0.00855066712884683
3.589,0.518,20.72,0.287078058202469,0.0824138115013002
3.589,0.311,12.44,0.110662378397767,0.0122461619926505
3.606,0.492,19.68,0.254683025258504,0.0648634433548238
3.622,0.582,23.28,0.385478357665772,0.148593564228701
3.622,0.453,18.12,0.212813904598271,0.0452897579903621
3.639,0.582,23.28,0.385478357665772,0.148593564228701
3.656,0.634,25.36,0.489778819368446,0.239883291901949
3.671,0.569,22.76,0.363078054770101,0.131825673855641
3.671,0.634,25.36,0.489778819368446,0.239883291901949
3.688,0.66,26.4,0.552077439280757,0.304789498962798
3.705,0.634,25.36,0.489778819368446,0.239883291901949
3.722,0.66,26.4,0.552077439280757,0.304789498962798
3.722,0.647,25.88,0.519995996533516,0.270395836410884
3.738,0.66,26.4,0.552077439280757,0.304789498962798
3.755,0.647,25.88,0.519995996533516,0.270395836410884
3.755,0.621,24.84,0.461317574560379,0.212813904598271
3.771,0.66,26.4,0.552077439280757,0.304789498962798
3.787,0.621,24.84,0.461317574560379,0.212813904598271
3.805,0.556,22.24,0.341979442513709,0.116949939101987
3.806,0.634,25.36,0.489778819368446,0.239883291901949
3.823,0.608,24.32,0.434510224171571,0.188799134909629
3.84,0.44,17.6,0.200447202736516,0.040179081084894
3.84,0.595,23.8,0.409260659730011,0.167494287602644
3.856,0.479,19.16,0.239883291901949,0.0575439937337157
3.873,0.168,6.72,0.0572796030985829,0.00328095293113119
3.873,0.518,20.72,0.287078058202469,0.0824138115013002
3.89,0.259,10.36,0.0870963589956081,0.00758577575029184
3.905,0.375,15,0.148593564228701,0.022080047330189
3.922,0.324,12.96,0.117489755493953,0.0138038426460288
3.922,0.336,13.44,0.124165230759241,0.0154170045294956
3.939,0.544,21.76,0.323593656929628,0.10471285480509
3.955,0.246,9.84,0.0820351544329818,0.00672976656284318
3.955,0.518,20.72,0.287078058202469,0.0824138115013002
