Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
0.296,0.453,18.12,0.167494287602644,0.0280543363795172
0.296,0.324,12.96,0.0924698173938223,0.00855066712884685
0.296,0.505,20.2,0.212813904598271,0.0452897579903621
0.296,0.233,9.32,0.0608135001278718,0.00369828179780267
0.296,0.556,22.24,0.269153480392692,0.0724435960074991
0.297,0.181,7.24,0.0478630092322639,0.00229086765276777
0.297,0.531,21.24,0.239883291901949,0.0575439937337158
0.297,0.66,26.4,0.434510224171572,0.18879913490963
0.297,0.492,19.68,0.200447202736516,0.040179081084894
0.297,0.647,25.88,0.409260659730011,0.167494287602644
0.297,0.44,17.6,0.157761126969935,0.0248885731828239
0.297,0.621,24.84,0.363078054770102,0.131825673855641
0.297,0.699,27.96,0.519995996533516,0.270395836410885
0.297,0.595,23.8,0.322106879128344,0.103752841581801
0.297,0.686,27.44,0.489778819368447,0.239883291901949
0.297,0.738,29.52,0.62230028516916,0.387257644921618
0.297,0.686,27.44,0.489778819368447,0.239883291901949
0.297,0.699,27.96,0.519995996533516,0.270395836410885
0.297,0.738,29.52,0.62230028516916,0.387257644921618
0.297,0.712,28.48,0.552077439280758,0.304789498962799
0.297,0.738,29.52,0.62230028516916,0.387257644921618
0.297,0.712,28.48,0.552077439280758,0.304789498962799
0.297,0.725,29,0.586138164514029,0.343557947899875
0.298,0.725,29,0.586138164514029,0.343557947899875
0.298,0.686,27.44,0.489778819368447,0.239883291901949
0.369,0.725,29,0.586138164514029,0.343557947899875
0.369,0.699,27.96,0.519995996533516,0.270395836410885
0.369,0.595,23.8,0.322106879128344,0.103752841581801
0.369,0.699,27.96,0.519995996533516,0.270395836410885
0.369,0.634,25.36,0.385478357665772,0.148593564228701
0.369,0.427,17.08,0.148593564228701,0.022080047330189
0.382,0.634,25.36,0.385478357665772,0.148593564228701
0.487,0.492,19.68,0.200447202736516,0.040179081084894
0.487,0.298,11.92,0.0820351544329818,0.00672976656284318
0.487,0.531,21.24,0.239883291901949,0.0575439937337158
0.487,0.155,6.2,0.0424619563946313,0.00180301774085957
0.488,0.556,22.24,0.269153480392692,0.0724435960074991
0.488,0.233,9.32,0.0608135001278718,0.00369828179780267
0.488,0.505,20.2,0.212813904598271,0.0452897579903621
0.488,0.647,25.88,0.409260659730011,0.167494287602644
0.488,0.466,18.64,0.177827941003892,0.0316227766016838
0.571,0.634,25.36,0.385478357665772,0.148593564228701
0.571,0.686,27.44,0.489778819368447,0.239883291901949
0.571,0.608,24.32,0.341979442513709,0.116949939101987
0.571,0.699,27.96,0.519995996533516,0.270395836410885
0.571,0.621,24.84,0.363078054770102,0.131825673855641
0.571,0.686,27.44,0.489778819368447,0.239883291901949
0.571,0.725,29,0.586138164514029,0.343557947899875
0.591,0.673,26.92,0.46131757456038,0.212813904598272
0.591,0.725,29,0.586138164514029,0.343557947899875
0.608,0.738,29.52,0.62230028516916,0.387257644921618
0.625,0.725,29,0.586138164514029,0.343557947899875
0.64,0.738,29.52,0.62230028516916,0.387257644921618
0.64,0.725,29,0.586138164514029,0.343557947899875
0.654,0.738,29.52,0.62230028516916,0.387257644921618
0.67,0.725,29,0.586138164514029,0.343557947899875
0.685,0.686,27.44,0.489778819368447,0.239883291901949
0.701,0.738,29.52,0.62230028516916,0.387257644921618
0.701,0.699,27.96,0.519995996533516,0.270395836410885
0.717,0.621,24.84,0.363078054770102,0.131825673855641
0.743,0.712,28.48,0.552077439280758,0.304789498962799
0.744,0.634,25.36,0.385478357665772,0.148593564228701
0.783,0.466,18.64,0.177827941003892,0.0316227766016838
0.783,0.66,26.4,0.434510224171572,0.18879913490963
0.785,0.505,20.2,0.212813904598271,0.0452897579903621
0.785,0.207,8.28,0.0539510622515128,0.00291071711806661
0.813,0.544,21.76,0.254683025258504,0.064863443354824
0.813,0.66,26.4,0.434510224171572,0.18879913490963
0.834,0.518,20.72,0.225943577022098,0.0510504999975407
0.834,0.324,12.96,0.0924698173938223,0.00855066712884685
0.852,0.492,19.68,0.200447202736516,0.040179081084894
0.868,0.634,25.36,0.385478357665772,0.148593564228701
0.869,0.414,16.56,0.139958732257262,0.0195884467350599
0.884,0.621,24.84,0.363078054770102,0.131825673855641
0.899,0.336,13.44,0.0977237220955811,0.00954992586021437
0.915,0.595,23.8,0.322106879128344,0.103752841581801
0.915,0.686,27.44,0.489778819368447,0.239883291901949
0.93,0.556,22.24,0.269153480392692,0.0724435960074991
0.946,0.673,26.92,0.46131757456038,0.212813904598272
0.961,0.725,29,0.586138164514029,0.343557947899875
0.961,0.66,26.4,0.434510224171572,0.18879913490963
0.977,0.725,29,0.586138164514029,0.343557947899875
0.991,0.751,30.04,0.660693448007596,0.436515832240167
1.008,0.712,28.48,0.552077439280758,0.304789498962799
1.022,0.738,29.52,0.62230028516916,0.387257644921618
1.022,0.738,29.52,0.62230028516916,0.387257644921618
1.038,0.738,29.52,0.62230028516916,0.387257644921618
1.055,0.738,29.52,0.62230028516916,0.387257644921618
1.055,0.699,27.96,0.519995996533516,0.270395836410885
1.072,0.738,29.52,0.62230028516916,0.387257644921618
1.088,0.725,29,0.586138164514029,0.343557947899875
1.102,0.634,25.36,0.385478357665772,0.148593564228701
1.118,0.725,29,0.586138164514029,0.343557947899875
1.118,0.647,25.88,0.409260659730011,0.167494287602644
1.132,0.492,19.68,0.200447202736516,0.040179081084894
1.148,0.673,26.92,0.46131757456038,0.212813904598272
1.165,0.531,21.24,0.239883291901949,0.0575439937337158
1.165,0.155,6.2,0.0424619563946313,0.00180301774085957
1.181,0.569,22.76,0.285759054337495,0.0816582371358593
1.196,0.207,8.28,0.0539510622515128,0.00291071711806661
1.213,0.505,20.2,0.212813904598271,0.0452897579903621
1.213,0.349,13.96,0.103752841581801,0.0107646521362984
1.228,0.453,18.12,0.167494287602644,0.0280543363795172
1.244,0.634,25.36,0.385478357665772,0.148593564228701
1.261,0.362,14.48,0.110153930954142,0.0121338885046498
1.261,0.621,24.84,0.363078054770102,0.131825673855641
1.275,0.298,11.92,0.0820351544329818,0.00672976656284318
1.29,0.582,23.28,0.303389118419427,0.0920449571753172
1.306,0.686,27.44,0.489778819368447,0.239883291901949
1.306,0.556,22.24,0.269153480392692,0.0724435960074991
1.321,0.66,26.4,0.434510224171572,0.18879913490963
1.337,0.712,28.48,0.552077439280758,0.304789498962799
1.353,0.647,25.88,0.409260659730011,0.167494287602644
1.367,0.712,28.48,0.552077439280758,0.304789498962799
1.367,0.738,29.52,0.62230028516916,0.387257644921618
1.383,0.712,28.48,0.552077439280758,0.304789498962799
1.398,0.738,29.52,0.62230028516916,0.387257644921618
1.412,0.725,29,0.586138164514029,0.343557947899875
1.413,0.725,29,0.586138164514029,0.343557947899875
1.428,0.725,29,0.586138164514029,0.343557947899875
1.443,0.686,27.44,0.489778819368447,0.239883291901949
1.458,0.738,29.52,0.62230028516916,0.387257644921618
1.473,0.712,28.48,0.552077439280758,0.304789498962799
