NoReference,Constant,Random,Uniform,Optimized
2.00006203053309,0.0212538216520475,0.0225761506977874,0.0186791938651551,0.0186791938651551
1.99436832325306,0.0213744970470357,0.0176771822793756,0.017272251079968,0.017272251079968
2.02305012081367,0.0167933567270402,0.0171920158073595,0.0182686276856739,0.0182686276856739
2.16210094418831,0.0193923176967894,0.0196759641281672,0.0184051757066404,0.0184051757066404
1.80232415210588,0.0251990731902328,0.0219588128774052,0.0207497899486449,0.0207497899486449
2.00670296352563,0.0231797858127643,0.0214650142391393,0.01408126373424,0.01408126373424
1.85445047422884,0.0215300389800984,0.01836803978877,0.0202948348438625,0.0202948348438625
1.88081773985375,0.0217597195608588,0.0236581717200749,0.0158761770755484,0.0158761770755484
1.71855071416082,0.0249648575970037,0.0220939509844553,0.0177590102561094,0.0177590102561094
1.80786876066735,0.0234090689840473,0.0221639452812146,0.0159501901675938,0.0159501901675938
1.98507714562469,0.0256164671209768,0.0208046879448971,0.0173529910977909,0.0173529910977909
1.78700639911928,0.0237439279378481,0.0221001586904968,0.0155493931920586,0.0155493931920586
2.25181695751262,0.0214899610887769,0.0204529682910411,0.0188076958456057,0.0188076958456057
1.56492015928,0.0194177316113127,0.0208186542675963,0.0181564120869079,0.0181564120869079
2.1973528658338,0.0205695376897355,0.0210078536512843,0.0190259954761205,0.0190259954761205
1.84257863463445,0.024943076073091,0.0245554009233468,0.0173943088872499,0.0173943088872499
1.97039521181144,0.0193016871155628,0.0192193283910271,0.0230433752148882,0.0230433752148882
2.13159702153918,0.0261636002548458,0.0205893990474813,0.0167309561235896,0.0167309561235896
1.7567938163797,0.0203654581801615,0.0212261085959122,0.0211308104306043,0.0211308104306043
1.99327707353697,0.021150273542027,0.0193635213673312,0.0183509208734462,0.0183509208734462
1.65245501623895,0.0251422187254604,0.020561855238495,0.0187394044074706,0.0187394044074706
2.13232713478965,0.0255527990322106,0.0208100387193784,0.0164843353681711,0.0164843353681711
1.96970756002376,0.024399325529871,0.0200701065544593,0.0181825761998465,0.0181825761998465
2.29802177807211,0.0213553691505615,0.0218457918865033,0.0165897420150075,0.0165897420150075
2.38968514656406,0.0265635389035344,0.0203570130273488,0.0153760182448307,0.0153760182448307
2.1007557051485,0.0218043381349072,0.0239008195531408,0.0207180013458846,0.0207180013458846
2.08979218557215,0.0223006135772173,0.0195773883728572,0.0184285224345295,0.0184285224345295
1.70642400075896,0.021148840080794,0.0211478417637791,0.0192358092164655,0.0192358092164655
2.2900279007891,0.0223555205511858,0.0212448206532001,0.0198106572935953,0.0198106572935953
2.09498523228755,0.0211947468272485,0.0207351875681132,0.0217526290907174,0.0217526290907174
1.87767228003491,0.0216524277720725,0.0236645110718193,0.0173465849747866,0.0173465849747866
2.01128200540904,0.0223023913131322,0.023940135382061,0.016828888538403,0.016828888538403
2.13219333112371,0.0204804385510361,0.0203815164661373,0.0203285148682913,0.0203285148682913
2.18430707564767,0.0226257368847482,0.0208948442389496,0.0159220337918312,0.0159220337918312
2.5513091135763,0.0226335207465671,0.0228537624594589,0.0188331424638435,0.0188331424638435
1.94353822349112,0.0197578149163771,0.0226994206819352,0.0166864600600777,0.0166864600600777
2.20126444603896,0.0216275177636293,0.0208975260845889,0.018948992283692,0.018948992283692
