ReferenceDesign,Channel_NMSE_dB,NMSE_95CI_Lower_dB,NMSE_95CI_Upper_dB,JacobianSigmaMin,JacobianConditionNumber,NoiseVariance
No reference,3.0027768886863,2.95796612284131,3.04713001231547,3.68547346068908e-16,5.40692688300084e+16,0.277834341866144
Constant,-16.4803042018512,-16.5293424718628,-16.4318134696738,8.63507438396964,3.36254869839551,1.5662679740718
Random,-16.7448040310746,-16.7951990957325,-16.6949870437921,8.25038229692883,3.40619206456307,1.65397028331693
Uniform,-17.4349222901808,-17.483073180215,-17.3872994076411,9.9461555416146,2.35287751030069,1.3932351652914
Optimized,-17.4349222901808,-17.483073180215,-17.3872994076411,9.9461555416146,2.35287751030069,1.3932351652914
