时间(s),电压(V)
1.791,0.699
1.806,0.725
1.821,0.712
1.821,0.725
1.837,0.712
1.852,0.660
1.867,0.725
1.883,0.673
1.883,0.556
1.899,0.686
1.914,0.595
1.931,0.362
1.931,0.621
1.947,0.440
1.961,0.311
1.976,0.492
1.977,0.207
1.992,0.556
2.008,0.181
2.023,0.505
2.023,0.647
2.039,0.466
2.055,0.621
2.070,0.414
2.086,0.621
2.086,0.686
2.101,0.582
2.117,0.673
2.134,0.725
2.134,0.647
2.148,0.712
2.164,0.712
2.179,0.699
2.179,0.725
2.195,0.699
2.210,0.712
2.224,0.699
2.226,0.660
2.241,0.712
2.256,0.673
2.272,0.595
2.287,0.686
2.287,0.621
2.301,0.414
2.316,0.621
2.333,0.492
2.333,0.582
2.348,0.531
2.363,0.181
2.378,0.531
2.394,0.220
2.394,0.492
2.410,0.647
2.425,0.427
2.442,0.621
2.443,0.349
2.458,0.595
2.474,0.686
2.489,0.569
2.489,0.686
2.504,0.712
2.521,0.647
2.536,0.712
2.536,0.725
2.552,0.699
2.567,0.712
2.583,0.712
2.583,0.725
2.598,0.712
2.613,0.660
2.629,0.712
2.645,0.686
2.645,0.595
2.661,0.699
2.677,0.621
2.693,0.453
2.693,0.634
2.708,0.492
2.725,0.207
2.740,0.531
2.740,0.181
2.756,0.505
2.772,0.285
2.788,0.453
2.788,0.621
2.805,0.401
2.820,0.595
2.835,0.298
2.835,0.569
2.852,0.673
2.868,0.544
2.884,0.660
2.884,0.699
2.899,0.647
2.915,0.699
2.931,0.725
2.931,0.699
2.946,0.725
2.962,0.712
2.978,0.712
2.978,0.725
2.994,0.686
3.011,0.725
3.026,0.686
3.026,0.621
3.042,0.699
3.058,0.621
3.073,0.479
3.073,0.660
3.090,0.531
3.106,0.168
3.122,0.556
3.122,0.272
3.138,0.492
3.153,0.362
3.168,0.634
3.168,0.621
3.184,0.375
3.201,0.595
3.217,0.246
3.217,0.569
3.233,0.673
3.249,0.544
3.249,0.647
3.266,0.712
3.281,0.634
3.298,0.699
3.298,0.725
3.314,0.686
3.330,0.725
3.346,0.712
3.346,0.725
3.362,0.712
3.378,0.686
3.394,0.725
3.394,0.699
3.410,0.634
3.425,0.699
3.442,0.634
3.442,0.505
3.459,0.647
3.474,0.556
3.491,0.220
3.491,0.569
3.507,0.298
3.523,0.453
3.523,0.388
3.540,0.375
3.557,0.595
3.573,0.285
3.573,0.569
3.589,0.311
3.606,0.544
3.622,0.647
3.622,0.492
3.639,0.647
3.656,0.699
3.656,0.634
3.671,0.699
3.688,0.712
3.705,0.686
3.705,0.725
3.722,0.712
3.738,0.712
3.738,0.725
3.755,0.699
3.771,0.725
3.787,0.699
3.787,0.634
3.805,0.712
3.823,0.647
3.824,0.531
3.840,0.673
3.856,0.556
3.873,0.246
3.873,0.595
3.890,0.349
3.905,0.414
3.905,0.427
3.922,0.349
3.939,0.582
3.955,0.246
3.955,0.569
3.972,0.388
3.989,0.608
3.989,0.647
4.005,0.479
4.022,0.634
4.038,0.699
4.038,0.621
4.054,0.686
4.071,0.712
4.071,0.673
4.087,0.712
4.104,0.725
4.122,0.699
4.122,0.712
4.138,0.686
4.155,0.712
4.156,0.712
4.172,0.647
4.189,0.712
4.205,0.660
4.205,0.544
4.223,0.673
4.239,0.582
4.239,0.311
4.257,0.608
4.273,0.401
4.290,0.375
4.290,0.466
4.306,0.272
4.323,0.569
4.323,0.168
4.339,0.544
4.356,0.660
4.373,0.505
4.373,0.634
4.389,0.453
4.407,0.634
4.407,0.699
4.424,0.595
4.441,0.686
4.441,0.725
4.458,0.673
4.474,0.712
4.492,0.725
4.492,0.712
4.508,0.725
4.525,0.699
4.525,0.725
4.542,0.712
4.559,0.647
4.575,0.712
4.575,0.660
4.591,0.569
4.607,0.686
4.607,0.595
4.625,0.375
4.642,0.621
4.659,0.440
4.660,0.336
4.678,0.492
4.695,0.246
4.695,0.556
4.713,0.181
4.733,0.505
4.733,0.634
4.750,0.466
4.750,0.621
4.769,0.414
4.788,0.608
4.788,0.686
4.805,0.582
4.823,0.673
4.823,0.712
4.841,0.660
4.859,0.712
4.859,0.725
4.876,0.699
4.893,0.725
4.893,0.699
4.911,0.725
4.928,0.712
4.944,0.660
4.944,0.712
4.962,0.673
4.980,0.582
4.981,0.673
4.997,0.608
5.015,0.414
5.015,0.634
5.032,0.466
5.050,0.272
5.050,0.518
5.068,0.168
5.085,0.544
5.085,0.298
5.102,0.505
5.120,0.647
5.120,0.466
5.136,0.621
5.155,0.362
5.172,0.608
5.172,0.686
5.190,0.569
5.207,0.673
5.207,0.712
5.224,0.660
5.241,0.712
5.241,0.725
5.258,0.712
5.276,0.725
5.276,0.699
5.293,0.725
5.311,0.712
5.311,0.673
5.328,0.725
5.346,0.686
5.346,0.595
5.364,0.699
5.383,0.621
5.383,0.453
5.401,0.647
5.421,0.660
5.421,0.194
5.440,0.531
5.458,0.194
5.458,0.518
5.477,0.259
5.477,0.466
5.495,0.621
5.511,0.401
5.528,0.595
5.528,0.324
5.546,0.582
5.563,0.686
5.563,0.544
5.583,0.660
5.602,0.712
5.602,0.647
5.619,0.699
5.619,0.725
5.637,0.699
5.656,0.725
5.656,0.699
5.674,0.712
5.692,0.712
5.692,0.673
5.712,0.712
5.731,0.699
5.731,0.608
5.750,0.699
5.768,0.634
5.768,0.466
5.785,0.647
5.803,0.518
5.803,0.220
5.820,0.556
5.838,0.220
5.838,0.492
5.857,0.336
5.876,0.427
5.876,0.608
5.893,0.349
5.911,0.582
5.911,0.246
5.927,0.569
5.945,0.673
5.945,0.544
5.962,0.647
5.981,0.699
5.981,0.634
6.001,0.699
6.001,0.712
6.019,0.699
6.037,0.712
6.037,0.699
6.054,0.712
6.072,0.712
6.072,0.686
6.090,0.712
6.107,0.686
6.125,0.621
6.125,0.699
6.143,0.647
6.160,0.505
6.161,0.647
6.179,0.544
6.179,0.207
6.197,0.569
6.214,0.298
6.214,0.453
6.233,0.582
6.250,0.401
6.250,0.595
6.268,0.298
6.287,0.569
6.287,0.194
6.304,0.544
6.322,0.660
6.323,0.505
6.343,0.660
6.360,0.699
6.360,0.621
6.380,0.699
6.399,0.725
6.399,0.686
6.416,0.712
6.434,0.712
6.434,0.712
6.452,0.712
6.470,0.686
6.470,0.725
6.488,0.699
6.507,0.634
6.507,0.712
6.525,0.647
6.525,0.518
6.543,0.660
6.562,0.556
6.562,0.233
6.582,0.595
6.600,0.336
6.600,0.427
6.618,0.414
6.636,0.349
6.636,0.595
6.655,0.246
6.673,0.556
6.673,0.181
6.692,0.531
6.692,0.647
6.711,0.492
6.729,0.647
6.729,0.699
6.748,0.621
6.766,0.686
6.766,0.712
6.784,0.686
6.803,0.725
6.803,0.712
6.822,0.712
6.822,0.712
6.841,0.686
6.860,0.712
6.860,0.686
6.878,0.647
6.898,0.712
6.898,0.660
6.917,0.556
6.936,0.673
6.936,0.582
6.953,0.311
6.953,0.608
6.972,0.414
6.991,0.388
6.991,0.453
7.010,0.285
7.030,0.569
7.030,0.194
7.047,0.544
7.066,0.660
7.066,0.505
7.084,0.647
7.084,0.453
7.103,0.634
7.121,0.686
7.121,0.595
7.139,0.686
7.157,0.725
7.157,0.673
7.176,0.712
7.193,0.712
7.194,0.699
7.212,0.725
7.230,0.699
7.230,0.712
7.247,0.712
7.267,0.660
7.267,0.712
7.284,0.673
7.302,0.556
7.303,0.686
7.320,0.582
7.338,0.336
7.338,0.621
7.354,0.414
7.372,0.324
7.372,0.479
7.391,0.220
7.408,0.544
7.408,0.168
7.425,0.531
7.443,0.647
7.443,0.479
7.461,0.660
7.479,0.440
7.479,0.608
7.497,0.686
7.766,0.595
7.766,0.686
7.766,0.699
7.766,0.660
7.766,0.712
7.766,0.725
7.766,0.712
7.766,0.725
7.766,0.699
7.766,0.725
7.766,0.712
7.766,0.660
7.766,0.712
7.766,0.673
7.766,0.699
7.767,0.686
7.767,0.595
7.767,0.401
7.767,0.621
7.767,0.440
7.767,0.311
7.767,0.505
7.767,0.621
7.787,0.544
7.804,0.181
7.804,0.505
7.823,0.647
7.823,0.453
7.840,0.621
7.860,0.388
7.860,0.595
7.878,0.686
7.895,0.582
7.895,0.673
7.913,0.712
7.933,0.673
7.933,0.699
7.951,0.725
7.969,0.712
7.969,0.725
7.986,0.712
8.005,0.725
8.005,0.712
8.023,0.673
8.041,0.712
8.041,0.673
8.058,0.595
8.077,0.686
8.077,0.608
8.095,0.414
8.113,0.634
8.113,0.479
8.131,0.220
8.149,0.518
8.149,0.194
8.167,0.518
8.186,0.246
8.186,0.466
8.202,0.634
8.221,0.414
8.221,0.608
8.240,0.324
8.240,0.582
8.258,0.686
8.277,0.556
8.277,0.660
8.294,0.725
8.312,0.660
8.312,0.712
8.330,0.725
8.348,0.699
8.348,0.725
8.366,0.712
8.385,0.712
8.385,0.725
8.402,0.673
8.420,0.725
8.420,0.686
8.438,0.608
8.456,0.699
8.456,0.621
8.474,0.453
8.492,0.647
8.492,0.518
8.511,0.181
8.528,0.544
8.529,0.155
8.546,0.505
8.564,0.285
8.564,0.466
8.582,0.621
8.600,0.388
8.600,0.608
8.618,0.298
8.636,0.569
8.636,0.673
8.654,0.531
8.672,0.660
8.672,0.712
8.689,0.647
8.707,0.712
8.707,0.725
8.725,0.699
8.743,0.725
8.743,0.712
8.761,0.712
8.779,0.712
8.779,0.673
8.796,0.725
8.815,0.699
8.815,0.608
8.832,0.699
8.850,0.634
8.850,0.505
8.867,0.647
8.885,0.531
8.885,0.207
8.904,0.556
8.921,0.259
8.921,0.466
8.941,0.362
8.957,0.414
8.957,0.621
8.975,0.324
8.993,0.582
8.993,0.259
9.013,0.556
9.032,0.673
9.032,0.531
9.051,0.660
9.051,0.699
9.069,0.634
9.088,0.699
9.088,0.725
9.105,0.686
9.123,0.712
9.123,0.712
9.141,0.712
9.158,0.712
9.159,0.686
9.175,0.725
9.193,0.699
9.193,0.634
9.210,0.699
9.227,0.634
9.245,0.505
9.245,0.660
9.262,0.531
9.281,0.168
9.281,0.569
9.298,0.272
9.315,0.453
9.315,0.388
9.333,0.388
9.350,0.595
9.351,0.285
9.368,0.569
9.384,0.168
9.385,0.544
9.403,0.660
9.422,0.505
9.422,0.634
9.440,0.699
9.458,0.621
9.458,0.699
9.476,0.738
9.496,0.686
9.496,0.725
9.712,0.725
9.713,0.712
9.713,0.725
9.713,0.686
9.713,0.725
9.713,0.699
9.713,0.621
9.713,0.686
9.713,0.660
9.713,0.518
9.713,0.673
9.713,0.569
9.713,0.272
9.713,0.595
9.713,0.336
9.713,0.427
9.713,0.427
9.713,0.440
9.730,0.582
9.730,0.220
9.748,0.556
9.765,0.544
9.765,0.518
9.783,0.647
9.799,0.479
9.816,0.634
9.816,0.699
9.834,0.608
9.851,0.699
9.851,0.712
9.868,0.686
9.885,0.712
9.885,0.712
9.903,0.712
9.921,0.712
9.921,0.699
9.937,0.712
9.954,0.699
9.954,0.647
9.972,0.699
9.990,0.660
10.008,0.544
10.008,0.686
10.025,0.569
10.042,0.311
10.042,0.608
10.059,0.388
10.076,0.375
10.076,0.466
10.095,0.311
10.113,0.569
10.113,0.194
10.130,0.544
10.147,0.660
10.147,0.492
10.164,0.647
10.182,0.453
10.182,0.621
10.199,0.686
10.217,0.608
10.217,0.686
10.235,0.712
10.252,0.673
10.252,0.712
10.270,0.712
10.287,0.712
10.305,0.725
10.305,0.699
10.324,0.725
10.324,0.751
10.343,0.660
10.361,0.712
10.361,0.673
10.378,0.556
10.396,0.686
10.397,0.595
10.415,0.336
10.434,0.608
10.434,0.427
10.453,0.362
10.471,0.492
10.471,0.505
10.489,0.556
10.507,0.155
10.507,0.531
10.526,0.660
10.543,0.673
10.543,0.634
10.561,0.414
10.577,0.621
10.577,0.686
10.596,0.582
10.612,0.686
10.612,0.712
10.630,0.660
10.648,0.725
10.648,0.725
10.665,0.712
10.682,0.725
10.682,0.699
10.700,0.725
10.717,0.712
10.717,0.673
10.734,0.712
10.752,0.673
10.769,0.582
10.769,0.686
10.787,0.621
10.804,0.401
10.804,0.621
10.822,0.466
10.840,0.272
10.840,0.505
10.857,0.194
10.875,0.544
10.875,0.207
10.893,0.505
10.912,0.647
10.912,0.453
10.932,0.621
10.932,0.375
10.950,0.608
10.970,0.686
10.970,0.569
10.988,0.673
11.007,0.712
11.008,0.647
11.026,0.712
11.026,0.725
11.043,0.712
11.061,0.725
11.079,0.699
11.079,0.712
11.097,0.712
11.114,0.660
11.114,0.712
11.133,0.686
11.133,0.595
11.152,0.738
11.169,0.621
11.169,0.544
11.188,0.634
11.206,0.492
11.206,0.233
11.224,0.544
11.243,0.155
11.243,0.544
11.262,0.246
11.279,0.479
11.279,0.621
11.297,0.427
11.314,0.608
11.314,0.336
11.333,0.595
11.350,0.686
11.350,0.556
11.369,0.660
11.385,0.712
11.386,0.660
11.404,0.699
11.420,0.712
11.420,0.699
11.438,0.725
11.454,0.725
11.472,0.725
11.472,0.738
11.489,0.673
11.507,0.725
11.507,0.686
11.525,0.595
11.544,0.699
11.544,0.621
11.562,0.569
11.578,0.634
11.578,0.505
11.596,0.181
11.612,0.544
11.612,0.181
11.630,0.492
11.647,0.311
11.647,0.453
11.664,0.621
11.682,0.375
11.682,0.595
11.699,0.272
11.717,0.556
11.718,0.673
11.736,0.531
11.753,0.660
11.753,0.725
11.771,0.647
11.790,0.699
11.790,0.725
11.809,0.699
11.825,0.725
11.825,0.712
11.843,0.712
11.860,0.725
11.860,0.686
11.878,0.712
11.896,0.699
11.896,0.621
11.914,0.699
11.931,0.634
11.931,0.479
11.949,0.647
11.966,0.531
11.983,0.194
11.983,0.556
12.000,0.246
12.018,0.466
12.018,0.362
12.035,0.427
12.051,0.608
12.051,0.349
12.069,0.595
12.087,0.246
12.087,0.556
12.105,0.660
12.121,0.518
12.139,0.647
12.139,0.712
12.157,0.634
12.174,0.699
12.174,0.725
12.191,0.686
12.208,0.712
12.208,0.712
12.225,0.712
12.243,0.712
12.243,0.686
12.260,0.725
12.278,0.699
12.278,0.621
12.294,0.699
12.312,0.647
12.330,0.518
12.330,0.647
12.348,0.544
12.365,0.233
12.366,0.582
12.383,0.324
12.400,0.453
12.400,0.401
12.417,0.375
12.434,0.595
12.434,0.272
12.452,0.569
12.469,0.181
12.469,0.544
12.486,0.660
12.504,0.505
12.504,0.647
12.522,0.699
12.539,0.621
12.539,0.699
12.556,0.725
12.573,0.686
12.592,0.725
12.592,0.712
12.608,0.712
12.626,0.725
12.626,0.699
12.642,0.725
12.659,0.699
12.659,0.634
12.677,0.712
12.695,0.686
12.695,0.544
12.712,0.673
12.731,0.569
12.731,0.272
12.748,0.595
12.766,0.362
12.766,0.401
12.783,0.518
12.800,0.582
12.818,0.582
12.818,0.259
12.835,0.544
12.855,0.427
12.855,0.518
12.874,0.647
12.874,0.479
12.890,0.634
12.909,0.699
12.909,0.621
12.928,0.686
12.945,0.712
12.945,0.673
12.963,0.712
12.982,0.712
12.982,0.712
12.999,0.725
13.016,0.699
13.016,0.712
13.034,0.712
13.051,0.647
13.051,0.712
13.068,0.660
13.086,0.544
13.104,0.673
13.104,0.582
13.122,0.324
13.138,0.608
13.138,0.401
13.155,0.388
13.173,0.466
13.173,0.272
13.189,0.569
13.206,0.155
13.207,0.544
13.224,0.660
13.241,0.505
13.259,0.647
13.259,0.453
13.276,0.621
13.293,0.699
13.293,0.595
13.310,0.686
13.327,0.725
13.327,0.673
13.344,0.725
13.362,0.725
13.362,0.699
13.380,0.712
13.398,0.686
13.398,0.712
13.415,0.699
13.432,0.660
13.432,0.712
13.449,0.673
13.467,0.569
13.484,0.686
13.484,0.595
13.501,0.375
13.519,0.621
13.519,0.453
13.537,0.311
13.556,0.492
13.556,0.220
13.573,0.556
13.591,0.168
13.591,0.518
13.608,0.647
13.625,0.466
13.625,0.621
13.642,0.427
13.660,0.608
13.660,0.686
13.678,0.582
13.696,0.673
13.696,0.725
13.715,0.673
13.731,0.712
13.731,0.725
13.749,0.699
13.766,0.725
13.766,0.699
13.784,0.725
13.801,0.712
13.801,0.673
13.818,0.712
13.835,0.673
13.853,0.582
13.853,0.686
13.870,0.608
13.888,0.388
13.888,0.634
13.907,0.453
13.928,0.285
13.928,0.505
13.945,0.207
13.946,0.531
13.963,0.220
13.981,0.505
13.981,0.647
13.998,0.440
14.016,0.621
14.016,0.375
14.033,0.595
14.051,0.686
14.069,0.569
14.069,0.673
14.087,0.712
14.103,0.660
14.103,0.712
14.122,0.725
14.139,0.699
14.139,0.725
14.156,0.712
14.174,0.725
14.174,0.712
14.192,0.660
14.209,0.712
14.209,0.686
14.227,0.595
14.244,0.686
14.244,0.621
14.262,0.440
14.279,0.634
14.279,0.492
14.296,0.194
14.314,0.531
14.314,0.181
14.331,0.518
14.349,0.285
14.349,0.466
14.366,0.634
14.384,0.401
14.402,0.608
14.402,0.324
14.419,0.582
14.437,0.686
14.437,0.544
14.456,0.673
14.473,0.712
14.473,0.660
14.491,0.712
14.509,0.725
14.509,0.699
14.527,0.725
14.543,0.712
14.543,0.725
14.562,0.712
14.580,0.673
14.580,0.712
14.597,0.686
14.614,0.608
14.614,0.686
14.631,0.634
14.649,0.466
14.649,0.647
14.667,0.505
14.686,0.194
14.686,0.544
14.705,0.194
14.723,0.492
14.723,0.311
14.740,0.427
14.759,0.608
14.759,0.375
14.779,0.595
14.779,0.272
14.797,0.569
14.814,0.673
14.814,0.531
14.832,0.647
14.849,0.699
14.867,0.647
14.867,0.699
14.884,0.712
14.903,0.699
14.903,0.712
14.921,0.712
14.938,0.725
14.939,0.712
14.956,0.686
14.956,0.712
14.975,0.686
14.994,0.634
14.994,0.699
15.012,0.647
15.032,0.505
15.032,0.660
15.050,0.544
15.067,0.168
15.067,0.569
15.086,0.272
15.104,0.466
15.104,0.362
15.121,0.414
15.140,0.608
15.140,0.634
15.164,0.595
15.164,0.220
15.190,0.556
15.190,0.660
15.208,0.505
15.208,0.647
15.227,0.699
15.249,0.634
15.249,0.686
15.266,0.712
15.266,0.686
15.284,0.725
15.302,0.712
15.302,0.725
15.320,0.699
15.338,0.673
15.338,0.712
15.356,0.686
15.375,0.621
15.375,0.712
15.393,0.647
15.410,0.505
15.410,0.660
15.429,0.544
15.446,0.207
15.446,0.569
15.464,0.362
15.483,0.427
15.483,0.401
15.501,0.362
15.519,0.595
15.520,0.259
15.539,0.569
15.557,0.233
15.557,0.518
15.577,0.634
15.577,0.453
15.595,0.595
15.614,0.673
15.614,0.595
15.633,0.699
15.651,0.725
15.651,0.699
15.669,0.751
15.687,0.751
15.687,0.738
15.705,0.764
15.723,0.751
15.724,0.764
15.741,0.751
15.761,0.686
15.761,0.751
15.780,0.699
15.780,0.569
15.798,0.699
15.816,0.608
15.816,0.259
15.835,0.621
15.854,0.388
15.854,0.492
15.873,0.440
15.891,0.298
15.891,0.556
15.909,0.194
15.909,0.505
15.927,0.595
15.945,0.440
15.945,0.556
15.965,0.349
15.984,0.518
15.984,0.569
16.002,0.466
16.020,0.531
16.020,0.556
16.038,0.518
16.057,0.556
16.057,0.556
16.075,0.556
16.094,0.569
16.094,0.544
16.112,0.569
16.112,0.569
16.130,0.518
16.148,0.569
16.149,0.518
16.167,0.776
16.185,0.544
16.185,0.453
16.203,0.246
16.221,0.492
16.221,0.311
16.239,0.259
16.255,0.362
16.256,0.194
16.274,0.453
16.293,0.246
16.293,0.427
16.312,0.544
16.328,0.388
16.328,0.531
16.348,0.492
16.365,0.518
16.365,0.595
16.383,0.505
16.402,0.582
16.402,0.621
16.420,0.582
16.439,0.621
16.439,0.621
16.458,0.608
16.458,0.634
16.478,0.608
16.498,0.634
16.498,0.621
16.517,0.569
16.517,0.621
16.536,0.569
16.555,0.466
16.555,0.595
16.574,0.518
16.592,0.298
16.592,0.531
16.610,0.362
16.629,0.246
16.630,0.414
16.650,0.194
16.650,0.466
16.670,0.168
16.688,0.569
16.688,0.556
16.707,0.375
16.707,0.544
16.726,0.324
16.746,0.518
16.746,0.608
16.764,0.505
16.783,0.595
16.783,0.634
16.802,0.582
16.819,0.621
16.819,0.634
16.838,0.621
16.856,0.634
16.856,0.621
16.874,0.634
16.874,0.647
16.892,0.582
16.910,0.621
16.910,0.595
16.928,0.492
16.946,0.608
16.946,0.505
16.964,0.336
16.981,0.556
16.981,0.401
17.000,0.220
17.017,0.440
17.017,0.220
17.035,0.453
17.053,0.220
17.053,0.388
17.072,0.544
17.091,0.336
17.091,0.518
17.109,0.272
17.127,0.479
17.127,0.569
17.145,0.453
17.163,0.544
17.163,0.582
17.181,0.518
17.199,0.569
17.199,0.569
17.217,0.544
17.236,0.556
17.236,0.556
17.254,0.544
17.272,0.544
17.272,0.492
17.290,0.544
17.308,0.518
17.308,0.440
17.325,0.556
17.344,0.505
17.344,0.349
17.363,0.556
17.363,0.427
17.379,0.168
17.398,0.492
17.398,0.738
17.416,0.466
17.434,0.259
17.434,0.453
17.452,0.621
17.471,0.401
17.471,0.608
17.490,0.324
17.508,0.608
17.508,0.686
17.526,0.582
17.544,0.686
17.544,0.751
17.563,0.686
17.580,0.751
17.581,0.764
17.599,0.751
17.618,0.776
17.618,0.764
17.635,0.776
17.653,0.776
17.653,0.751
17.671,0.776
17.688,0.751
17.688,0.686
17.707,0.764
17.726,0.712
17.726,0.556
17.744,0.725
17.744,0.608
17.762,0.142
17.781,0.647
17.781,0.298
17.799,0.556
17.817,0.440
17.817,0.518
17.835,0.699
17.854,0.440
17.854,0.673
17.872,0.298
17.890,0.647
17.890,0.751
17.909,0.621
17.927,0.738
17.928,0.789
17.946,0.712
17.946,0.789
17.965,0.815
17.983,0.776
17.983,0.802
18.003,0.802
18.021,0.802
18.021,0.802
18.039,0.776
18.058,0.815
18.059,0.776
18.076,0.712
18.095,0.802
18.095,0.738
18.114,0.595
18.114,0.751
18.132,0.634
18.150,0.194
18.150,0.660
18.168,0.375
18.186,0.544
18.186,0.466
18.205,0.466
18.223,0.686
18.223,0.479
18.241,0.673
18.260,0.194
18.260,0.621
18.278,0.738
18.297,0.595
18.297,0.738
18.314,0.789
18.332,0.712
18.332,0.776
18.350,0.815
18.369,0.776
18.369,0.802
18.386,0.802
18.386,0.802
18.405,0.815
18.424,0.776
18.424,0.815
18.442,0.789
18.461,0.725
18.461,0.789
18.478,0.738
18.496,0.621
18.496,0.751
18.516,0.647
18.534,0.298
18.534,0.686
18.552,0.427
18.569,0.505
18.569,0.518
18.588,0.440
18.588,0.686
18.607,0.324
18.624,0.660
18.625,0.220
18.643,0.621
18.662,0.738
18.662,0.569
18.681,0.725
18.699,0.776
18.699,0.699
18.717,0.776
18.736,0.802
18.736,0.764
18.755,0.802
18.772,0.802
18.772,0.789
18.790,0.815
18.810,0.776
18.810,0.815
18.828,0.776
18.828,0.725
18.847,0.789
18.864,0.725
18.864,0.634
18.883,0.764
18.901,0.673
18.901,0.401
18.920,0.686
18.938,0.634
18.938,0.453
18.956,0.544
18.974,0.349
18.974,0.660
18.993,0.207
19.012,0.621
19.012,0.738
19.031,0.582
19.031,0.725
19.048,0.531
19.067,0.699
19.067,0.776
19.085,0.686
19.103,0.764
19.103,0.802
19.121,0.751
19.139,0.789
19.139,0.802
19.157,0.789
19.175,0.802
19.175,0.776
19.192,0.802
19.211,0.789
19.211,0.738
19.229,0.802
19.247,0.764
19.247,0.647
19.265,0.764
19.284,0.686
19.284,0.427
19.302,0.699
19.321,0.505
19.321,0.427
19.339,0.569
19.357,0.298
19.357,0.647
19.375,0.531
19.375,0.608
19.394,0.738
19.411,0.569
19.411,0.725
19.430,0.518
19.448,0.699
19.448,0.776
19.466,0.686
19.484,0.764
19.484,0.802
19.504,0.751
19.522,0.789
19.522,0.815
19.540,0.802
19.558,0.815
19.559,0.789
19.576,0.815
19.595,0.802
19.595,0.764
19.612,0.802
19.630,0.764
19.630,0.673
19.647,0.776
19.666,0.699
19.666,0.492
19.685,0.712
19.685,0.556
19.702,0.349
19.721,0.608
19.721,0.142
19.739,0.621
19.759,0.233
19.759,0.582
19.776,0.725
19.795,0.518
19.795,0.699
19.812,0.453
19.830,0.673
19.830,0.764
19.849,0.660
19.868,0.751
19.868,0.802
19.885,0.738
19.904,0.789
19.904,0.789
19.923,0.776
19.923,0.789
19.942,0.789
19.961,0.815
19.961,0.789
19.979,0.738
20.000,0.802
20.000,0.751
20.018,0.660
20.036,0.764
20.036,0.686
20.054,0.518
20.054,0.699
20.072,0.569
20.090,0.272
20.090,0.608
20.109,0.168
20.127,0.595
20.127,0.298
20.144,0.556
20.163,0.712
20.163,0.492
20.183,0.699
20.201,0.401
20.201,0.673
20.219,0.764
20.238,0.647
20.238,0.751
20.255,0.789
20.274,0.751
20.274,0.789
20.293,0.815
20.293,0.789
20.311,0.802
20.330,0.789
20.330,0.802
20.348,0.802
20.366,0.764
20.366,0.802
20.384,0.776
20.403,0.686
20.403,0.776
20.421,0.712
20.439,0.531
20.439,0.712
20.457,0.595
20.475,0.155
20.475,0.660
20.493,0.233
20.510,0.556
20.510,0.388
20.528,0.505
20.546,0.686
20.546,0.453
20.565,0.673
20.582,0.324
20.582,0.647
20.600,0.738
20.619,0.608
20.619,0.751
20.637,0.776
20.655,0.712
20.655,0.776
20.674,0.789
20.674,0.764
20.691,0.789
20.709,0.776
20.709,0.789
20.727,0.776
20.745,0.751
20.745,0.776
20.763,0.751
20.781,0.686
20.781,0.764
20.800,0.699
20.817,0.544
