时间(s),电压(V)
0.296,0.207
0.296,0.544
0.296,0.194
0.296,0.492
0.296,0.285
0.297,0.453
0.297,0.621
0.297,0.388
0.297,0.595
0.297,0.298
0.297,0.569
0.297,0.673
0.297,0.544
0.297,0.660
0.297,0.712
0.297,0.647
0.297,0.699
0.297,0.725
0.297,0.686
0.297,0.725
0.297,0.712
0.297,0.725
0.297,0.712
0.298,0.686
0.298,0.725
0.369,0.686
0.369,0.621
0.369,0.699
0.369,0.634
0.369,0.479
0.369,0.660
0.382,0.531
0.487,0.181
0.487,0.569
0.487,0.259
0.487,0.479
0.488,0.375
0.488,0.414
0.488,0.608
0.488,0.336
0.488,0.582
0.571,0.298
0.571,0.556
0.571,0.660
0.571,0.518
0.571,0.647
0.571,0.712
0.571,0.634
0.591,0.699
0.608,0.712
0.608,0.686
0.625,0.712
0.640,0.712
0.654,0.725
0.654,0.725
0.670,0.686
0.685,0.725
0.701,0.699
0.701,0.621
0.717,0.712
0.743,0.647
0.744,0.518
0.783,0.647
0.783,0.544
0.785,0.220
0.785,0.582
0.813,0.582
0.813,0.427
0.834,0.401
0.834,0.375
0.852,0.595
0.868,0.285
0.869,0.569
0.884,0.142
0.899,0.544
0.915,0.660
0.915,0.505
0.930,0.634
0.946,0.699
0.961,0.621
0.977,0.699
0.977,0.712
0.991,0.686
1.008,0.725
1.022,0.712
1.022,0.712
1.038,0.725
1.055,0.686
1.072,0.712
1.072,0.699
1.088,0.647
1.102,0.699
1.118,0.660
1.118,0.531
1.132,0.673
1.148,0.569
1.165,0.246
1.165,0.595
1.181,0.362
1.196,0.414
1.213,0.440
1.228,0.311
1.228,0.582
1.244,0.207
1.261,0.569
1.275,0.660
1.275,0.518
1.290,0.647
1.306,0.479
1.321,0.621
1.321,0.699
1.337,0.608
1.353,0.686
1.367,0.725
1.383,0.673
1.383,0.712
1.398,0.712
1.412,0.712
1.428,0.725
1.428,0.699
1.443,0.725
1.458,0.699
1.473,0.647
1.487,0.699
1.487,0.660
1.503,0.544
1.517,0.673
1.534,0.582
1.548,0.336
1.548,0.608
1.564,0.401
1.579,0.375
1.594,0.466
1.594,0.259
1.609,0.569
1.624,0.285
1.640,0.531
1.655,0.660
1.655,0.492
1.670,0.634
1.684,0.440
1.700,0.621
1.715,0.686
1.715,0.595
1.730,0.686
1.745,0.712
1.761,0.673
1.762,0.712
1.777,0.725
