时间(s),电压(V)
0.296,0.414
0.296,0.194
0.296,0.466
0.296,0.129
0.296,0.453
0.296,0.207
0.297,0.466
0.297,0.569
0.297,0.362
0.297,0.544
0.297,0.298
0.297,0.518
0.297,0.608
0.297,0.492
0.297,0.595
0.297,0.660
0.297,0.582
0.297,0.634
0.297,0.660
0.297,0.634
0.297,0.660
0.297,0.647
0.297,0.634
0.298,0.647
0.298,0.608
0.369,0.660
0.369,0.621
0.369,0.531
0.369,0.634
0.369,0.556
0.369,0.401
0.382,0.582
0.382,0.453
0.487,0.168
0.487,0.492
0.487,0.181
0.488,0.440
0.488,0.298
0.488,0.375
0.488,0.544
0.488,0.311
0.571,0.531
0.571,0.440
0.571,0.505
0.571,0.595
0.571,0.466
0.571,0.582
0.571,0.647
0.591,0.582
0.591,0.634
0.608,0.647
0.625,0.621
0.625,0.660
0.640,0.660
0.654,0.647
0.670,0.647
0.670,0.608
0.685,0.647
0.701,0.621
0.717,0.556
0.717,0.634
0.744,0.569
0.744,0.427
0.783,0.569
0.783,0.466
0.785,0.168
0.813,0.505
0.813,0.505
0.813,0.388
0.834,0.298
0.852,0.349
0.852,0.544
0.868,0.272
0.884,0.518
0.884,0.181
0.899,0.492
0.915,0.608
0.930,0.453
0.930,0.582
0.946,0.634
0.961,0.556
0.977,0.634
0.991,0.660
0.991,0.621
1.008,0.660
1.022,0.660
1.038,0.647
1.038,0.660
1.055,0.621
1.072,0.660
1.088,0.647
1.088,0.569
1.102,0.647
1.118,0.582
1.132,0.453
1.148,0.595
1.148,0.492
1.165,0.181
1.181,0.518
1.181,0.259
1.196,0.375
1.213,0.349
1.228,0.311
1.228,0.531
1.244,0.220
1.261,0.505
1.275,0.181
1.276,0.479
1.290,0.595
1.306,0.440
1.321,0.569
1.337,0.634
1.337,0.531
1.353,0.634
1.367,0.647
1.383,0.621
1.383,0.647
1.398,0.634
1.412,0.647
1.428,0.647
1.443,0.621
1.443,0.660
1.458,0.647
1.473,0.569
1.487,0.647
1.503,0.582
1.503,0.466
1.517,0.608
1.534,0.505
1.548,0.259
1.564,0.544
1.564,0.311
1.579,0.336
1.594,0.388
1.609,0.246
1.609,0.518
1.624,0.569
1.640,0.492
1.655,0.595
1.670,0.440
1.670,0.582
1.684,0.388
1.700,0.569
1.715,0.634
1.730,0.544
1.730,0.621
1.746,0.647
1.762,0.621
1.777,0.647
1.777,0.660
1.791,0.647
1.806,0.660
1.821,0.634
1.836,0.660
1.837,0.647
1.852,0.582
1.867,0.647
1.883,0.608
1.883,0.492
1.899,0.608
1.914,0.505
1.931,0.272
1.931,0.544
1.947,0.349
1.961,0.298
1.976,0.414
1.992,0.246
1.992,0.492
2.008,0.181
2.023,0.479
2.039,0.582
2.039,0.427
2.055,0.569
2.070,0.388
2.086,0.556
2.086,0.621
2.101,0.531
2.117,0.608
2.134,0.647
2.134,0.608
2.148,0.647
2.164,0.660
2.179,0.647
2.195,0.647
2.195,0.634
2.210,0.647
2.226,0.647
2.241,0.595
2.241,0.647
2.256,0.595
2.272,0.505
2.287,0.621
2.301,0.544
2.302,0.336
2.316,0.556
2.333,0.401
2.348,0.505
2.348,0.453
2.363,0.168
2.378,0.492
2.394,0.181
2.410,0.453
2.410,0.582
2.425,0.401
2.443,0.569
2.458,0.336
2.458,0.544
2.474,0.621
2.489,0.518
2.504,0.595
2.504,0.660
2.521,0.595
2.536,0.647
2.552,0.660
2.552,0.647
2.567,0.660
2.583,0.647
2.598,0.660
2.598,0.647
2.613,0.595
2.629,0.660
2.645,0.608
2.645,0.518
2.661,0.634
2.677,0.544
2.693,0.362
2.693,0.556
2.708,0.414
2.725,0.207
2.740,0.453
2.740,0.168
2.756,0.453
2.772,0.194
2.788,0.414
2.788,0.556
2.805,0.362
2.820,0.544
2.835,0.285
2.835,0.518
2.852,0.608
2.868,0.492
2.884,0.608
2.884,0.647
2.900,0.582
2.915,0.634
2.931,0.660
2.931,0.621
2.946,0.660
2.962,0.647
2.978,0.660
2.994,0.647
2.994,0.608
3.011,0.660
3.026,0.608
3.026,0.544
3.042,0.634
3.058,0.556
3.073,0.388
3.073,0.582
3.090,0.440
3.106,0.168
3.122,0.479
