时间(s),电压(V)
0.296,0.453
0.296,0.324
0.296,0.505
0.296,0.233
0.296,0.556
0.297,0.181
0.297,0.531
0.297,0.660
0.297,0.492
0.297,0.647
0.297,0.440
0.297,0.621
0.297,0.699
0.297,0.595
0.297,0.686
0.297,0.738
0.297,0.686
0.297,0.699
0.297,0.738
0.297,0.712
0.297,0.738
0.297,0.712
0.297,0.725
0.298,0.725
0.298,0.686
0.369,0.725
0.369,0.699
0.369,0.595
0.369,0.699
0.369,0.634
0.369,0.427
0.382,0.634
0.487,0.492
0.487,0.298
0.487,0.531
0.487,0.155
0.488,0.556
0.488,0.233
0.488,0.505
0.488,0.647
0.488,0.466
0.571,0.634
0.571,0.686
0.571,0.608
0.571,0.699
0.571,0.621
0.571,0.686
0.571,0.725
0.591,0.673
0.591,0.725
0.608,0.738
0.625,0.725
0.640,0.738
0.640,0.725
0.654,0.738
0.670,0.725
0.685,0.686
0.701,0.738
0.701,0.699
0.717,0.621
0.743,0.712
0.744,0.634
0.783,0.466
0.783,0.660
0.785,0.505
0.785,0.207
0.813,0.544
0.813,0.660
0.834,0.518
0.834,0.324
0.852,0.492
0.868,0.634
0.869,0.414
0.884,0.621
0.899,0.336
0.915,0.595
0.915,0.686
0.930,0.556
0.946,0.673
0.961,0.725
0.961,0.660
0.977,0.725
0.991,0.751
1.008,0.712
1.022,0.738
1.022,0.738
1.038,0.738
1.055,0.738
1.055,0.699
1.072,0.738
1.088,0.725
1.102,0.634
1.118,0.725
1.118,0.647
1.132,0.492
1.148,0.673
1.165,0.531
1.165,0.155
1.181,0.569
1.196,0.207
1.213,0.505
1.213,0.349
1.228,0.453
1.244,0.634
1.261,0.362
1.261,0.621
1.275,0.298
1.290,0.582
1.306,0.686
1.306,0.556
1.321,0.660
1.337,0.712
1.353,0.647
1.367,0.712
1.367,0.738
1.383,0.712
1.398,0.738
1.412,0.725
1.413,0.725
1.428,0.725
1.443,0.686
1.458,0.738
1.473,0.712
1.473,0.634
1.487,0.712
1.503,0.660
1.517,0.505
1.534,0.686
1.534,0.556
1.548,0.207
1.564,0.595
1.579,0.298
1.594,0.479
1.594,0.401
1.609,0.401
1.624,0.608
1.640,0.699
1.640,0.595
1.655,0.194
1.670,0.556
1.684,0.673
1.700,0.518
1.700,0.660
1.715,0.725
1.730,0.647
1.745,0.712
1.761,0.751
1.762,0.699
1.777,0.738
1.791,0.738
1.806,0.738
1.806,0.738
1.821,0.712
1.836,0.738
1.852,0.725
1.867,0.660
1.867,0.725
1.883,0.660
1.899,0.544
1.914,0.712
1.915,0.569
1.931,0.220
1.947,0.608
1.961,0.349
1.961,0.453
1.977,0.427
1.992,0.362
2.008,0.595
2.008,0.246
2.023,0.582
2.039,0.181
2.055,0.556
2.070,0.673
2.070,0.518
2.086,0.647
2.101,0.712
2.117,0.634
2.117,0.699
2.134,0.738
2.148,0.699
2.164,0.738
2.164,0.738
2.179,0.738
2.195,0.725
2.210,0.699
2.224,0.738
2.226,0.725
2.241,0.660
2.256,0.725
2.272,0.673
2.272,0.569
2.287,0.686
2.301,0.608
2.316,0.336
2.333,0.621
2.333,0.427
2.348,0.531
2.363,0.479
2.378,0.298
2.378,0.595
2.394,0.207
2.410,0.569
2.425,0.686
2.425,0.531
2.443,0.660
2.458,0.479
2.474,0.647
2.474,0.712
2.489,0.621
2.504,0.686
2.521,0.738
2.521,0.699
2.536,0.725
2.552,0.725
2.567,0.725
2.583,0.738
2.583,0.712
2.598,0.738
2.613,0.725
2.629,0.673
2.629,0.725
2.645,0.686
2.661,0.569
2.677,0.686
2.677,0.608
2.693,0.375
2.708,0.634
2.725,0.453
2.725,0.362
2.740,0.492
2.756,0.259
2.772,0.569
2.772,0.194
2.788,0.531
2.805,0.673
2.820,0.492
2.820,0.647
2.835,0.440
2.852,0.634
2.868,0.712
2.868,0.595
2.884,0.686
2.899,0.738
2.915,0.686
2.915,0.725
2.931,0.738
2.946,0.712
2.962,0.751
2.962,0.725
2.978,0.738
2.994,0.738
3.011,0.686
3.011,0.738
3.026,0.699
3.042,0.595
3.058,0.699
3.058,0.634
3.073,0.414
3.089,0.647
3.106,0.479
3.106,0.298
3.122,0.531
3.138,0.220
3.153,0.556
3.153,0.207
3.168,0.544
3.184,0.660
3.201,0.479
3.201,0.647
3.217,0.414
3.233,0.621
3.249,0.712
3.249,0.595
3.266,0.699
3.281,0.725
3.298,0.673
3.298,0.725
3.314,0.725
3.330,0.712
3.330,0.738
3.346,0.712
3.362,0.738
3.378,0.725
3.378,0.686
3.394,0.725
3.410,0.686
3.425,0.621
3.425,0.712
3.442,0.621
3.459,0.453
