时间(s),电压(V)
4.750,0.518
4.769,0.634
4.769,0.479
4.788,0.608
4.805,0.686
4.805,0.595
4.823,0.673
4.841,0.712
4.841,0.660
4.859,0.699
4.876,0.712
4.876,0.699
4.893,0.712
4.911,0.673
4.911,0.699
4.928,0.686
4.944,0.647
4.962,0.699
4.962,0.660
4.981,0.556
4.997,0.673
4.997,0.569
5.015,0.324
5.032,0.608
5.033,0.414
5.050,0.349
5.068,0.479
5.068,0.246
5.085,0.556
5.102,0.349
5.102,0.531
5.120,0.647
5.136,0.492
5.154,0.634
5.155,0.427
5.172,0.621
5.190,0.686
5.190,0.595
5.207,0.673
5.224,0.712
5.224,0.660
5.241,0.699
5.258,0.699
5.258,0.699
5.276,0.712
5.293,0.686
5.293,0.712
5.311,0.699
5.328,0.647
5.328,0.699
5.346,0.660
5.364,0.569
5.364,0.673
5.383,0.582
5.401,0.375
5.401,0.608
5.421,0.492
5.440,0.298
5.440,0.492
5.458,0.194
5.458,0.544
5.477,0.207
5.495,0.492
5.495,0.634
5.511,0.466
5.528,0.608
5.546,0.401
5.546,0.595
5.563,0.673
5.583,0.569
5.583,0.660
5.602,0.699
5.602,0.660
5.619,0.699
5.637,0.712
5.637,0.686
5.656,0.712
5.674,0.686
5.674,0.712
5.692,0.699
5.712,0.660
5.712,0.699
5.731,0.673
5.750,0.582
5.750,0.686
5.768,0.595
5.785,0.414
5.785,0.634
5.803,0.479
5.820,0.272
5.820,0.518
5.838,0.233
5.857,0.531
5.857,0.233
5.876,0.479
5.876,0.621
5.893,0.427
5.911,0.608
5.927,0.349
5.927,0.582
5.945,0.686
5.962,0.556
5.962,0.660
5.981,0.699
6.001,0.647
6.001,0.699
6.019,0.699
6.019,0.699
6.037,0.712
6.054,0.699
6.054,0.712
6.072,0.699
6.090,0.660
6.090,0.712
6.107,0.660
6.125,0.595
6.143,0.686
6.143,0.621
6.160,0.453
6.179,0.634
6.179,0.505
6.197,0.181
6.197,0.544
6.214,0.233
6.233,0.505
6.233,0.569
6.250,0.453
6.268,0.608
6.287,0.388
6.287,0.595
6.304,0.285
6.304,0.569
6.323,0.673
6.343,0.531
6.343,0.673
6.360,0.699
6.380,0.634
6.380,0.699
6.399,0.712
6.416,0.686
6.416,0.712
6.434,0.712
6.452,0.699
6.452,0.712
6.470,0.673
6.488,0.712
6.488,0.686
6.507,0.608
6.507,0.699
6.525,0.634
6.543,0.492
6.543,0.647
6.562,0.518
6.582,0.181
6.582,0.556
6.600,0.233
6.618,0.479
6.618,0.336
6.636,0.414
6.654,0.608
6.655,0.336
6.673,0.582
6.673,0.259
6.692,0.556
6.711,0.660
6.711,0.518
6.729,0.647
6.748,0.686
6.748,0.621
6.766,0.686
6.784,0.712
6.784,0.673
6.803,0.699
6.822,0.699
6.822,0.712
6.841,0.699
6.841,0.673
6.860,0.712
6.878,0.686
6.878,0.621
6.898,0.686
6.917,0.634
6.917,0.518
6.936,0.647
6.936,0.544
6.953,0.233
6.972,0.582
6.972,0.324
6.991,0.453
7.010,0.388
7.010,0.375
7.030,0.595
7.047,0.285
7.047,0.569
7.066,0.168
7.066,0.531
7.084,0.647
7.102,0.492
7.103,0.634
7.121,0.699
7.139,0.621
7.139,0.686
7.157,0.712
7.176,0.673
7.176,0.712
7.193,0.712
7.212,0.699
7.212,0.712
7.230,0.686
7.247,0.712
7.247,0.686
7.267,0.647
7.284,0.699
7.284,0.647
7.303,0.518
7.320,0.660
7.320,0.544
7.338,0.246
7.354,0.582
7.354,0.349
7.372,0.414
7.391,0.427
7.391,0.324
7.408,0.569
7.425,0.259
7.425,0.556
7.443,0.362
7.461,0.518
7.461,0.660
7.479,0.479
7.497,0.621
7.497,0.686
7.766,0.608
7.766,0.673
7.766,0.712
7.766,0.660
7.766,0.712
7.766,0.712
7.766,0.699
7.766,0.699
7.766,0.686
7.766,0.712
7.766,0.699
7.766,0.634
7.766,0.699
7.766,0.647
7.766,0.569
7.767,0.660
7.767,0.569
7.767,0.324
7.767,0.595
7.767,0.388
7.767,0.388
7.767,0.453
7.787,0.621
7.787,0.569
7.804,0.207
7.804,0.531
7.823,0.647
7.840,0.505
7.840,0.634
7.860,0.440
7.878,0.621
7.878,0.686
7.895,0.595
7.913,0.673
7.913,0.712
7.933,0.673
7.951,0.699
7.951,0.712
7.969,0.699
7.986,0.712
7.986,0.686
8.005,0.712
8.023,0.699
8.023,0.634
8.041,0.712
8.058,0.660
8.058,0.556
8.077,0.660
8.095,0.582
8.095,0.349
8.113,0.608
8.131,0.427
8.131,0.324
8.149,0.479
8.167,0.233
8.167,0.544
8.186,0.168
8.202,0.505
8.202,0.634
8.221,0.466
8.240,0.634
8.240,0.414
8.258,0.608
8.258,0.673
8.277,0.569
8.294,0.660
8.294,0.712
8.312,0.647
8.330,0.699
8.330,0.712
8.348,0.699
8.366,0.712
8.366,0.699
8.385,0.712
8.402,0.699
8.402,0.647
8.420,0.712
8.438,0.673
8.438,0.569
8.456,0.686
8.474,0.608
8.475,0.401
8.492,0.621
8.511,0.466
8.511,0.272
8.529,0.505
8.546,0.220
8.546,0.531
8.564,0.220
8.582,0.505
8.582,0.634
8.600,0.453
8.618,0.608
8.618,0.388
8.636,0.595
8.653,0.673
8.654,0.569
8.672,0.673
8.689,0.699
8.689,0.660
8.707,0.699
8.725,0.712
8.725,0.699
8.743,0.712
8.761,0.686
8.761,0.699
8.779,0.712
8.796,0.673
8.796,0.712
8.815,0.673
8.832,0.582
8.832,0.686
8.850,0.608
8.867,0.427
8.867,0.621
8.885,0.479
8.904,0.220
8.904,0.518
8.921,0.194
8.940,0.518
8.941,0.259
8.957,0.453
8.975,0.634
8.975,0.401
8.993,0.595
9.013,0.336
9.013,0.569
9.032,0.673
9.032,0.556
9.051,0.660
9.069,0.699
9.069,0.634
9.088,0.699
9.105,0.712
9.105,0.673
9.123,0.712
9.141,0.712
9.141,0.712
9.159,0.712
9.175,0.673
9.175,0.699
9.193,0.673
9.210,0.608
9.210,0.686
9.228,0.621
9.245,0.440
9.262,0.634
9.262,0.505
9.281,0.207
9.298,0.531
9.298,0.194
9.315,0.492
9.333,0.298
9.334,0.453
9.350,0.608
9.368,0.375
9.368,0.595
9.385,0.285
9.403,0.569
9.403,0.660
9.422,0.556
9.440,0.647
9.440,0.699
9.458,0.634
9.476,0.686
9.476,0.712
9.496,0.686
9.496,0.699
9.712,0.712
9.713,0.699
9.713,0.699
9.713,0.673
9.713,0.699
9.713,0.686
9.713,0.608
9.713,0.686
9.713,0.621
9.713,0.492
9.713,0.647
9.713,0.531
9.713,0.168
9.713,0.569
9.713,0.259
9.713,0.479
9.713,0.362
9.713,0.479
9.730,0.608
9.748,0.324
9.748,0.582
9.765,0.259
9.783,0.556
9.783,0.660
9.799,0.492
9.816,0.647
9.834,0.712
9.834,0.634
9.851,0.686
9.868,0.712
9.868,0.686
9.885,0.712
9.903,0.712
9.903,0.712
9.921,0.712
9.937,0.673
9.938,0.712
9.954,0.686
9.972,0.621
9.990,0.699
9.990,0.634
10.008,0.505
10.025,0.647
10.025,0.531
10.042,0.194
10.059,0.569
10.059,0.311
10.076,0.440
10.095,0.401
10.095,0.388
10.113,0.582
10.130,0.298
10.130,0.556
10.147,0.207
10.164,0.531
10.164,0.647
10.182,0.492
10.199,0.634
10.199,0.699
10.217,0.621
10.234,0.712
10.235,0.712
10.252,0.673
10.270,0.699
10.270,0.699
10.287,0.699
10.305,0.712
10.324,0.686
10.324,0.712
10.343,0.699
10.343,0.621
10.361,0.699
10.378,0.647
10.378,0.531
10.397,0.660
10.415,0.556
10.415,0.246
10.434,0.582
10.453,0.349
10.453,0.414
10.471,0.440
10.489,0.492
10.489,0.582
10.507,0.220
10.526,0.544
10.526,0.660
10.543,0.595
10.561,0.647
10.561,0.479
10.577,0.621
10.596,0.686
10.596,0.608
10.612,0.686
10.630,0.712
10.630,0.673
10.648,0.712
10.665,0.712
10.665,0.712
10.682,0.712
10.700,0.686
10.700,0.712
10.717,0.686
10.734,0.634
10.752,0.712
10.752,0.660
10.769,0.544
10.787,0.686
10.787,0.569
10.804,0.311
10.822,0.582
10.822,0.401
10.840,0.349
10.857,0.453
10.857,0.259
10.875,0.556
10.893,0.155
10.893,0.531
10.912,0.660
10.932,0.505
10.932,0.634
10.950,0.427
10.950,0.621
10.970,0.686
10.988,0.582
10.988,0.673
11.007,0.712
11.026,0.660
11.026,0.712
11.043,0.712
11.061,0.712
11.061,0.712
11.079,0.699
11.097,0.712
11.097,0.699
11.114,0.647
11.133,0.699
11.133,0.660
11.152,0.556
11.152,0.673
11.169,0.582
11.188,0.466
11.188,0.621
11.206,0.440
11.224,0.324
11.224,0.492
11.243,0.207
11.262,0.582
11.262,0.168
11.279,0.518
11.297,0.647
11.297,0.479
11.314,0.621
11.333,0.427
11.333,0.608
11.350,0.673
11.369,0.595
11.369,0.673
11.386,0.699
11.404,0.660
11.404,0.699
11.420,0.699
11.438,0.699
11.438,0.712
11.454,0.686
11.472,0.712
11.489,0.699
11.489,0.660
11.507,0.699
11.525,0.660
11.525,0.569
11.544,0.673
11.562,0.595
11.562,0.621
11.578,0.621
11.596,0.466
11.596,0.272
11.612,0.505
11.630,0.168
11.630,0.531
11.647,0.207
11.664,0.492
11.664,0.634
11.682,0.440
11.699,0.608
11.699,0.362
11.717,0.582
11.736,0.673
11.736,0.569
11.753,0.660
11.771,0.699
11.771,0.660
11.790,0.699
11.809,0.712
11.809,0.686
11.825,0.712
11.843,0.699
11.843,0.712
11.860,0.712
11.878,0.660
11.878,0.712
11.896,0.673
11.914,0.595
11.914,0.686
11.931,0.608
11.949,0.427
11.966,0.634
11.966,0.492
11.983,0.259
12.000,0.531
12.000,0.155
12.018,0.505
12.035,0.259
12.035,0.479
12.051,0.621
12.069,0.427
12.069,0.595
12.087,0.349
12.105,0.582
12.105,0.660
12.121,0.544
12.139,0.660
12.157,0.699
12.157,0.647
12.174,0.699
12.191,0.712
12.191,0.686
12.208,0.712
12.225,0.712
12.225,0.699
12.243,0.699
12.260,0.673
12.260,0.699
12.278,0.686
12.294,0.608
12.294,0.686
12.312,0.608
12.330,0.466
12.348,0.634
12.348,0.505
12.366,0.194
12.383,0.544
12.383,0.207
12.400,0.492
12.417,0.324
12.417,0.440
12.434,0.608
12.452,0.362
12.452,0.595
12.469,0.246
12.486,0.569
12.486,0.660
12.504,0.544
12.522,0.660
12.522,0.699
12.539,0.634
12.556,0.699
12.556,0.712
12.573,0.686
12.592,0.699
12.608,0.712
12.608,0.712
12.626,0.712
12.642,0.673
12.642,0.712
12.659,0.686
12.677,0.608
12.677,0.686
12.695,0.673
12.712,0.505
12.712,0.647
12.731,0.531
12.748,0.207
12.749,0.556
12.766,0.259
12.783,0.453
12.783,0.569
12.800,0.647
12.818,0.595
12.835,0.349
12.835,0.569
12.855,0.233
12.855,0.556
12.874,0.660
12.890,0.518
12.890,0.634
12.909,0.686
12.928,0.634
12.928,0.686
12.945,0.712
12.963,0.686
12.963,0.699
12.982,0.699
12.999,0.699
12.999,0.699
13.016,0.686
13.034,0.712
13.034,0.686
13.051,0.621
13.068,0.699
13.068,0.647
13.086,0.505
13.104,0.647
13.120,0.556
13.122,0.207
13.138,0.569
13.155,0.324
13.155,0.440
13.173,0.401
13.189,0.375
13.189,0.595
13.206,0.272
13.224,0.556
13.224,0.168
13.241,0.544
13.259,0.647
13.276,0.492
13.276,0.634
13.293,0.699
13.310,0.608
13.310,0.686
13.327,0.712
13.344,0.686
13.344,0.712
13.362,0.712
13.380,0.699
13.380,0.699
13.398,0.686
13.415,0.725
13.415,0.699
13.432,0.634
13.449,0.699
13.467,0.634
13.467,0.544
13.484,0.660
13.501,0.556
13.501,0.285
13.519,0.582
13.537,0.375
13.537,0.388
13.556,0.440
13.573,0.324
13.573,0.582
13.591,0.220
13.608,0.544
13.608,0.660
13.625,0.518
13.642,0.634
13.642,0.466
13.660,0.621
13.678,0.686
13.678,0.595
13.696,0.686
13.715,0.712
13.715,0.660
13.731,0.712
13.749,0.699
13.749,0.699
13.766,0.699
13.784,0.686
13.784,0.699
