SNR_dB,Channel_NMSE_dB,DOA_RMSE_deg,DOA_CRLB_deg
0,-5.41479291874037,1.14930376473693,1.21078449830081
3,-8.46917517092305,0.857454964209386,0.857169781369719
6,-11.4728134717891,0.560812466895755,0.606829733222166
9,-14.3348009531026,0.429459865488526,0.429602551473583
12,-17.4224602104758,0.281542453415721,0.304135315276393
15,-20.5091964708562,0.193982223239219,0.215311314332263
18,-23.3505221569477,0.163122207105639,0.152428737311734
21,-26.3399020059267,0.103848417642163,0.107911281998839
24,-29.2952451451323,0.0724334314449642,0.076395337178566
