PilotLength,Channel_NMSE_dB,JacobianSigmaMin
4,0.501859412851209,0.0105239586031696
6,-5.33224349140594,3.28834700589208
8,-6.24805837685797,1.69262138653183
12,-11.7628683694538,4.47221362681394
16,-13.7750318853055,5.68891386124143
24,-16.0803805699086,6.88544687607159
32,-17.4688551172554,9.9461555416146
48,-18.2863369536286,11.5210510768191
