ReferenceDesign,Channel_NMSE_dB,JacobianSigmaMin,JacobianConditionNumber
No reference,3.08732433400049,3.68547346068908e-16,5.40692688300084e+16
Constant,-16.5312571104749,8.63507438396964,3.36254869839551
Random,-16.7285083603713,8.25038229692883,3.40619206456307
Uniform,-17.2995851163388,9.9461555416146,2.35287751030069
Optimized,-17.4839217116294,9.9461555416146,2.35287751030069
