ReferenceAmplitude,Channel_NMSE_dB,JacobianSigmaMin
0,3.1204182684656,3.68547346068908e-16
0.25,-4.54743345872031,1.72258341462168
0.5,-9.44963527152037,3.33719598706844
0.75,-12.4221815782986,4.969957229331
1,-14.4401323688737,6.62030085317004
1.5,-17.3923075557009,9.9461555416146
2,-19.437228077348,13.2748080989899
3,-22.6320907845197,19.9265226012633
