Num_units,Normalized_dmin,ML_SER
4,0.554981820342604,0.6933
8,1.23866519623467,0.66895
16,2.13440343918405,0.6346
32,3.08824763366835,0.5768
64,4.88107123732985,0.4956
128,6.92934144777204,0.3662
256,9.80086449945887,0.2094
512,13.8607160324748,0.0761
1024,19.6104384088414,0.00995
