Separation_deg,Normalized_sigma_min,ML_SER
0.25,0.0208517891788494,0.4094
0.5,0.0416619916376675,0.401225
1,0.0831242616927601,0.393075
2,0.165187940608831,0.37325
4,0.324138644123401,0.321975
8,0.609321581128945,0.24845
12,0.834222666829454,0.217875
16,0.989254607872933,0.213975
24,0.881813586798424,0.220325
32,0.937833481126755,0.213325
