Code_index,Normalized_dmin,MonteCarlo_PEP,Theoretical_PEP
1,3.84684738789844,0.0280333333333333,0.0272134305212451
2,4.16075799266285,0.0192666666666667,0.0187453921047912
3,4.24816802530907,0.0167333333333333,0.0168315595548812
4,4.29139621032315,0.0158333333333333,0.0159485362331071
5,4.32003619227653,0.0146666666666667,0.015385634352994
6,4.35312387891832,0.0143,0.0147566337696749
7,4.37328338475736,0.0146666666666667,0.0143843456129098
8,4.39465044939987,0.0133666666666667,0.0139986136932628
9,4.40549762963201,0.0137,0.0138062288058345
10,4.425480866215,0.0132333333333333,0.0134577730489393
11,4.43940473665639,0.0124666666666667,0.0132194889912891
12,4.45229592211171,0.0132,0.0130021361512769
13,4.46493082615947,0.0115,0.0127921093472421
14,4.47505431352746,0.0119,0.0126259532253705
15,4.487018280408,0.0105,0.0124320005584043
16,4.50268776815542,0.0132666666666667,0.0121818826780811
17,4.52005865492687,0.0128333333333333,0.0119097153608496
18,4.53510707314607,0.0123333333333333,0.0116782161753446
19,4.54434880465798,0.0119,0.0115379893488616
20,4.5575580379827,0.0113333333333333,0.011340102359396
21,4.56930030745814,0.0098,0.0111666748000695
22,4.58134527741931,0.00986666666666667,0.0109911771288744
23,4.58957797534555,0.0107,0.0108726100275042
24,4.60255415043651,0.0115,0.0106879873506397
25,4.61821029368353,0.0101666666666667,0.010468873616214
26,4.62662566322484,0.0115666666666667,0.0103527228549465
27,4.64219263772429,0.0108333333333333,0.0101408230120189
28,4.6563467972074,0.01,0.00995144905292613
29,4.67253418621464,0.00996666666666667,0.00973866272068554
30,4.69820601911594,0.0094,0.00940934989197982
31,4.73368174695758,0.00873333333333333,0.00897032230777033
32,4.88107123732985,0.00713333333333333,0.00733274982098612
