SNR_dB,Channel_NMSE_dB,DOA_RMSE_deg,DOA_RMSE_CI95_lower_deg,DOA_RMSE_CI95_upper_deg,DOA_bias_RMS_deg,DOA_CRLB_deg
0,-4.60479266996744,1.4673110168279,1.41600398032331,1.51861805333248,0.148215418800832,1.2141459857717
3,-7.64291324490608,0.97563012038897,0.943728398430712,1.00753184234723,0.0662612746639509,0.859549532254001
6,-10.6630541201061,0.695907028405884,0.673548758204157,0.718265298607611,0.0624873300757994,0.608514467828578
9,-13.7460414160235,0.489412010258655,0.472125379554778,0.506698640962533,0.0139040013359675,0.430795252235999
12,-16.7320437430847,0.339082799246611,0.328005794329835,0.350159804163387,0.00672295829480367,0.304979682753177
15,-19.7603668059923,0.23363576631271,0.226187856436993,0.241083676188428,0.00176131769463491,0.215909080727923
18,-22.7287843377944,0.169427830898878,0.163717193197053,0.175138468600703,0.00871463016170227,0.152851923511588
21,-25.7752448087214,0.126329446615378,0.122238109364869,0.130420783865888,0.00559488787869122,0.108210874885035
24,-28.7752541761835,0.0846574236448007,0.0818750011096162,0.0874398461799853,0.00107100243514038,0.0766074326993801
